Category,State,Utility Company,Project Type,Question,Answer,Source,Start Text,page_number
State Incentive,IL,state,1.2MW C&I Rooftop,What is the REC value for a 1.2MW commercial rooftop solar project in ComEd IL?,$47.63,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,250KW Public School Rooftop,What is the price of a REC for a 250KW solar rooftop project on a public elementary school in Ameren IL?,$58.94,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,300KW Resi Rooftop,How much is a REC worth for a 10 KW residential rooftop in ComEd IL?,$82.28,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-24,188
State Incentive,IL,state,3.4MW On-Site,What is the REC value for a 3.4MW solar project in MidAmerican IL?,$40.90,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,2.8MW Community Solar,What is the price of a REC for a 2.8MW community solar project in Ameren IL?,$45.50,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,Small DG,What's the project size limit for the Small Distributed Generation (Small DG) category?,Small Distributed Generation refers to projects up to 25 kW in size. This category will comprise at least 20% of the Adjustable Block Program (ABP) capacity.,IL State - 2022 LTP.pdf,7.4.1. Small Distributed Generation,172
State Incentive,IL,state,,What is the ABP capacity allocation breakdown during the delivery year 2023-2024 for the different program categories?,Small Distributed Generation: 20%; Large Distributed Generation: 20%; Traditional Community Solar: 30%; Public School Projects: 15%; Community-Driven Community Solar: 5%; Equity Eligible Contractor Projects: 10%,IL State - 2022 LTP.pdf,2023-2024 Delivery Year,169
State Incentive,IL,state,2MW C&I Ground Mount,What is the value of a REC produced from a 2MW commercial solar system in ComEd IL?,$47.63,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,2300kW C&I Ground Mount,What's a REC worth from a 2300kW commercial system in IL?,"A REC is valued at $40.90/MWh for Utilities located in MISO (e.g., Ameren) and $33.31/MWh for Utilities in PJM (e.g., ComEd).",IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,2300kW C&I Ground Mount,What's a REC worth from a 2000kW system at a school in IL?,"A REC is valued at $56.73/MWh for Utilities located in MISO (e.g., Ameren) and $53.59/MWh for Utilities in PJM (e.g., ComEd).",IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,24kW Rooftop,What is the REC incentive value for a 24kW system in MidAmerican territory?,$66.39,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,25kW Rooftop,Please provide the REC price of a 25kW array behind a Muni in PJM.,$71.89,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,26kW Rooftop,Please provide the REC price of a 26kW project behind a Coop in MISO.,$57.94,IL State - 2022 LTP.pdf,Proposed ABP REC Prices ($/REC) for Delivery Year 2022-23,188
State Incentive,IL,state,,What projects are eligble under the Public Schools categeory in the Adjustable Block Program in IL?,"The Public Schools category includes projects that serve a public school in Illinois. Eligibility is restricted to projects that are installed ""at"" a public school, including projects on land adjacent to a public school or on school district-owned land.",IL State - 2022 LTP.pdf,7.4.4. Public Schools,178
State Incentive,NJ,state,1.2MW C&I Rooftop,What is the REC value for a 1.2MW commercial rooftop solar project in PSEG NJ?,$90,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,400kW C&I Rooftop,What is the price of a REC for a 400kW commercial carport solar project in ACE NJ?,$100,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,1.2MW Public School Rooftop,What is the REC value for a 1.2MW public school solar project in ACE NJ?,"The REC value is $100/MWh for ground-mounted projects and $110/MWh for rooftop, canopoy and other structures.",NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,0.6MW Public Entity Ground,What is the price of a REC for a 0.6MW rooftop solar project on an NJ government building?,$120,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,30kW Resi Rooftop Solar,What is the REC incentive value for a 30kW residential project in NJ?,$90,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,2300kW C&I Carport,What's the price of a REC produced from a 2300kW carport commercial system in NJ?,$90,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,2300kW C&I Ground Mount,What's the price of a REC produced from a 2300kW ground-mounted commercial system in NJ?,$80,NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,2300kW C&I Ground Mount,What's the NJ REC price for a 2.3MW non-residential project?,"For private entities, the REC value is $80/MWh for ground-mounted projects and $90/MWh for rooftop, canopoy and other structures. For public entities, REC prices are $100/MWh and $110/MWh for these configurations, respectively.",NJ SuSi Program.pdf,See chart below for details.,1
State Incentive,NJ,state,1000kW C&I Ground,Please quote the REC value for a 1000kW industrial ground-mounted system.,$80,NJ SuSi Program.pdf,See chart below for details.,1
Utility Tariff,NJ,JCP&L,2 MW C&I Ground,What is the rate of power that a 2MW ground mount system will receive from JCP&L?,The energy payment is based on real-time PJM load weighted average Residual Metered Load Aggregate LMP for the JCP&L Transmission Zone.,NJ JCP&L - Rate Schedule 11.2022.pdf,Energy Payment:,56
Utility Tariff,NJ,JCP&L,10KW Resi Rooftop,Does JCP&L charge costs for interconnection or metering of a 10KW residential rooftop solar system?,Qualifying Facility (QF) customers shall pay all metering equipment and interconnection costs as required by JCP&L and/or by PJM.,NJ JCP&L - Rate Schedule 11.2022.pdf,Cogeneration and Small Power Production Service,56
Utility Tariff,NJ,JCP&L,Qualifying Facility,Does Jersey Central Power & Light charge a fee to net-meter?,"There is a $40.00 monthly service charge to JCP&L for Qualifying Facilities (QF) less than 1000 KW generating capacity, and negotiatiable for systems greater than 1000 KW.",NJ JCP&L - Rate Schedule 11.2022.pdf,Cogeneration and Small Power Production Service,56
Utility Tariff,IL,ComEd,Net Metering,What customers qualify under an NM1 net metering classification?,"NM1 classification refers to a retail customer receiving bundled electric service from ComEd under Rate BES - Basic Electric Service (Rate BES), who consumes a portion of the gross output of its electric generating facilities and recieves the remaining portion of its power requirement in accordance with the provisions of the otherwise applicable tariff(s). Excess power from such electric generation facilities (e.g., solar PV) is provided to the Company (i.e., ComEd).",IL ComEd - Rate Schedule 11.2022.pdf,These classifications are described in the following subsections of this Service Classifications section,421
Utility Tariff,IL,ComEd,Net Metering,How does net metering compensation work for NM1 customers?,"An NM1 retail customer is provided an energy credit, in kWhs, by ComEd for the net output provided to the Company by the retail customer during the monthly billing period, which may accrue over the current annual period. Accrued credits offset net kWhs, on a one to one (1:1) basis, supplied to the retail customer in subsequent months, during the current annual period.",IL ComEd - Rate Schedule 11.2022.pdf,CREDITS AND COMPENSATION. A retail customer,426
Utility Tariff,IL,ComEd,Net Metering,What Net Metering classification is a customer recieving generation from a competitive supplier under a fixed price contract?,A retail customer taking energy supply service from a RES under terms that do not include hourly pricing provisions falls under the NM3 classification. NM3 customers with on-site electric generation that exceeds their power requirements requirements will provide the net output of the system to the RES.,IL ComEd - Rate Schedule 11.2022.pdf,NM3 Classification,422
Utility Tariff,IL,ComEd,Net Metering,What is the compensation mechanism for exported solar power for a customer supplied by an RES at a fixed rate?,"Since this customer would classify as an NM3 retail customer, they would receive a 1:1 volumetric delivery credit (in kWh) for excess power (i.e., net output) provided to the RES. Such volumetric credit may be rolled over to subsequent months within the annual period.",IL ComEd - Rate Schedule 11.2022.pdf,A retail customer served hereunder with an NM1 or NM3,426
Utility Tariff,IL,Ameren,Net Metering (TPO),How is a non-TOU DS-2 customer compensated for exported power from a third-party owned solar project in Ameren IL?,"For service initiated before 2025, DS-1 and DS-2 customers shall receive a volumetric credit, for supply and delivery, from Ameren for each kWh of excess power provided by the customer during the billing period. Excess monthly volumetric credits may be banked for use during subsequent billing periods, prior to the end of the Annual Period, when unused credits will expire.",IL Ameren - TPO NEM 11.2022.pdf,If the amount of electricity produced by a Customer's Private Generation Facility,6
Utility Tariff,IL,Ameren,Net Metering (TPO),How is a non-TOU DS-4 customer compensated for exported power from a third-party owned solar project in Ameren IL?,"For service initiated before 2025, DS-3, DS-4 and DS-6 customers shall receive a credit from Ameren equal to the net amount of electricity provided by the Customer, multiplied by the electricity provider's (EP) tariffed or contract rate for electricity supply.",IL Ameren - TPO NEM 11.2022.pdf,Methodology B: 1. Customer receiving power and energy under non Time of Use Rates:,7
Utility Tariff,NJ,ACE,Net Metering,Which type of customers is Net Metering available to?,"Net metering is available to customers who own and operate a customer-generator facility that uses a NJ defined Class I renewable resource which is located on the customer's premises or contiguous property; is interconnected and operated in parallel with the ACE's transmission or distribution facilities; is intended primarily to offset all or part of the the customer's own electricity needs, and is not a Qualifying Facility (QF) served under ACE's Small Power Purchase Rate Schedule.",NJ ACE - Rate Schedule 11.2022.pdf,Net Energy Metering,71
Utility Tariff,NJ,ACE,Net Metering,How does the monthly rate change if a customer enrolls in a net metering program?,"The monthly rates, rate components, and billing unit provisions are the same as those stated under the customer's existing applicable Rate Schedule. Only the per kilowatt-hour charge components will be affected.",NJ ACE - Rate Schedule 11.2022.pdf,"MONTHLY RATES, RATE COMPONENTS AND BILLING UNIT PROVISIONS",71
Utility Tariff,NJ,ACE,Net Metering,How is a customer compensated for net metering?,"If the customer consumes more energy than she delivers to ACE, she will be charged for the net amount consumed based on the rates and charges of her Rate Schedule. If the customer delivers more energy to ACE than she consumes, she will be charged the Customer Charge and any appropriate demand charges based on her applicable Rate Schedule. Then, ACE will credit the customer for that delivered energy. ",NJ ACE - Rate Schedule 11.2022.pdf,"MONTHLY RATES, RATE COMPONENTS AND BILLING UNIT PROVISIONS",71
