seq,page_num,content,chapter_title,all_sections,count_words,count_sent,state,is_table,book_title,book_path
1,0,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  5th Revised Sheet No. 24 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 4th Revised Sheet No. 24) 
 
RIDER NM – NET METERING 
 
 
PURPOSE 
 
*  The purpose of this tariff is to establish an offering of net electricity metering service in  
the Company’s service territory, in compliance with 220 ILCS 5/16-107.5 and 83 Ill. 
Adm. Code 465. 
 
AVAILABILITY 
 
*  Rider NM – Net Metering (Rider NM) is available to Customers receiving power and energy from 
the Company or a Retail Electric Supplier (RES), that are considered an Eligible Customer as 
defined in Subsection 220 ILCS 5/16-107.5(b)(ii) of the Public Utilities Act (Act), or a Subscriber 
as defined in 20 ILCS 3855/1-10 of a project that falls within the parameters specified in 
Subsection 16-107.5(l) of the Act.  A Customer is not allowed to simultaneously take service 
under this Rider NM and service under Rider QF – Qualifying Facilities (Rider QF).  A Customer 
is not allowed to simultaneously take service under this Rider NM and service under Rider PTR – 
Peak Time Rewards (Rider PTR).  A Customer must successfully complete an Application for 
Service in compliance with 83 Ill. Adm. Code 465, and Customers with on-site private generation 
must comply with the interconnection requirements within 83 Ill. Adm. Code 466.  Project 
owners providing Subscriptions may register their Subscribers for service under this tariff with the 
consent of the Subscriber.  Customers may be eligible to receive service under this tariff 
simultaneously from multiple Subscriptions or combined on-site private generation.  Subscriptions 
under this Rider NM will be available upon completion of the programming and development of 
the information technology infrastructure necessary to support the specialized billing, which is 
currently anticipated to be completed in Fall 2018. 
 
  Applications for service under this Rider can be made by accessing the necessary information on 
the Company’s website www.amerenillinois.com or by contacting the Company. 
 
 
 
Date of Filing, August 29, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING    PURPOSE AVAILABILITY,['Ameren Illinois Company'],464,14,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
2,1,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  4th Revised Sheet No. 24.001 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 3rd Revised Sheet No. 24.001) 
 
RIDER NM – NET METERING 
 
 
DEFINITIONS 
 
ANNUAL PERIOD 
Annual Period means the period of 12 consecutive monthly Billing Periods ending on the last day 
of either the net metering Customer’s April monthly Billing Period or its October monthly Billing 
Period, whichever was selected by the Customer in connection with its application for net 
metering. 
 
*   
 
*  COLLECTIVELY-OWNED GENERATION FACILITIES or COGF 
Collectively-Owned Generation Facilities or COGF means an electric generating facility located in 
the  Company's service territory with a nameplate capacity of not more than 2,000 kilowatts (kW) 
powered by solar electric energy, wind, dedicated crops grown for electricity generation, 
agricultural residues, untreated and unadulterated wood waste, landscape trimmings, livestock 
manure, anaerobic digestion of livestock or food processing waste, fuel cells or micro turbines 
powered by renewable fuels, or hydroelectric energy; interconnected at distribution level voltages 
under the provisions of 83 Ill. Adm. Code 466; located at a single Premises and located on the 
same Premises as the building or buildings that are the recipient of its output; and having multiple 
recipients of the generating facility's output such as individual units, apartments, or properties 
located in a single building that are owned or leased by multiple customers, including but not 
limited to an office or apartment building, a shopping center or strip mall served by photovoltaic 
panels on the building's roof. 
 
*  COMMUNITY RENEWABLE GENERATION PROJECT or CRGP 
Community Renewable Generation Project or CRGP means an electric generating facility located 
in the Company's service territory with a nameplate capacity of not more than 2,000 kW powered 
by wind, solar thermal energy, photovoltaic cells or panels, biodiesel, crops and untreated and 
unadulterated organic waste biomass, tree waste and hydropower that is not sourced from 
hydropower dams built or significantly expanded after June 1, 2017; interconnected at distribution 
level voltages under the provisions of 83 Ill. Adm. Code 466; and whose owner/operator offers 
Subscriptions for the generator's output under the provisions of 220 ILCS 5/16-107.5. 
 
 
Date of Filing, September 28, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING    DEFINITIONS ANNUAL PERIOD *  *  COLLECTIVELY-OWNED GENERATION FACILITIES or COGF  *  COMMUNITY RENEWABLE GENERATION PROJECT or CRGP,['Ameren Illinois Company'],503,8,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
3,2,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  2nd Revised Sheet No. 24.002 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 1st Revised Sheet No. 24.002) 
 
RIDER NM – NET METERING 
 
 
ELECTRICITY PROVIDER or EP 
  Electricity Provider or EP means an electric utility or a RES.  The Electricity Provider provides 
electric power and energy supply service to the Eligible Customer. 
 
*  ELIGIBLE CUSTOMER 
  Eligible Customer under this Rider means a Retail Customer that owns or operates a solar, wind, 
or other eligible renewable electrical generating facility with a nameplate capacity of not more 
than 2,000 kilowatts (kW) that is located on the Customer’s Premises and is intended primarily to 
offset the Customer’s own electrical requirements, or is a Subscriber to a CRGP or LICS. 
 
*  ELIGIBLE FACILITY 
  Eligible Facility means a COGF, CRGP, LICS, or Private Generation Facility. 
 
*  GROSS AMOUNT OF ELECTRICITY 
Gross Amount of Electricity means all electricity delivered to the Customer through their meter at 
the point of interconnection. 
 
*  LOW INCOME COMMUNITY SOLAR or LICS 
Low Income Community Solar or LICS means an electric generating facility located in the 
Company's service territory, approved by the IPA per the provisions of 20 ILCS 3855/1-56 (b)(2) 
and whose nameplate capacity may exceed 2,000 kW; that is powered by solar energy; is exempt 
from the requirement that a ""qualified person"" as defined in 20 ILCS 3855/1-56(i)(1) installed the 
facility; is designated by the Illinois Power Agency as a Eligible Facility offering Subscriptions 
under the pilot program offered through 20 ILCS 3855/1-56(b)(2)(D) and is otherwise 
interconnected under the provisions of either 83 Ill. Adm. Code 466 or 83 Ill. Adm. Code 467.  A 
LICS generating facility that requests to receive service under this Rider must have a nameplate 
capacity of not more than 2,000 kW. 
 
*  PRIVATE GENERATION FACILITY 
Private Generation Facility means a solar, wind, or other Eligible Facility that is located on the 
Customer's Premises, which is intended to primarily offset the Customer's own electrical 
requirements, and is interconnected under the provisions of either 83 Ill. Adm. Code 466 or 83 Ill. 
Adm. Code 467. 
 
 
 
Date of Filing, August 29, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING    ELECTRICITY PROVIDER or EP *  ELIGIBLE CUSTOMER *  ELIGIBLE FACILITY *  GROSS AMOUNT OF ELECTRICITY  *  LOW INCOME COMMUNITY SOLAR or LICS  *  PRIVATE GENERATION FACILITY,['Ameren Illinois Company'],501,11,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
4,3,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  7th Revised Sheet No. 24.003 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 6th Revised Sheet No. 24.003) 
 
RIDER NM – NET METERING 
 
 
  SUBSCRIBER 
Subscriber means a Retail Customer who has a Subscription of no less than 200 watts to a CRGP 
or LICS that is located in the electric utility's service area and has agreed to the service under the 
terms of this Rider NM – Net Metering. No Subscriber's Subscription may total more than 40% of 
the nameplate capacity of an individual CRGP or LICS. Entities that are affiliated by virtue of a 
common parent shall not represent multiple subscriptions that total more than 40% of the 
nameplate capacity of an individual CRGP or LICS.  A Subscriber may have a Subscription in 
more than one CRGP or LICS. A COGF-participating Customer is not considered a Subscriber. 
 
  SUBSCRIPTION 
Subscription means an interest in a CRGP or LICS expressed in kilowatts, which is sized primarily 
to offset part or all of the Subscriber's electricity usage.  A Customer's Subscription shall be 
portable so that the Subscription may be retained by the Subscriber even if the Subscriber relocates 
or changes its address within the Company's service territory.  A Customer's Subscription shall be 
transferable so that the Subscriber may assign or sell its Subscription to another person within the 
Company's service territory.  The terms and conditions for any sale, assignment, or transfer of 
Subscriptions are not a part of service provided by the Company, and it shall be the sole 
responsibility of the Eligible Facility or operator to notify the Company of all changes in the billing 
for any sale, assignment, or transfer of a Subscription. 
 
  TIME OF USE RATE 
  Time of Use Rate means any contract or tariff under which the kWh price for electric power and 
energy supply is not uniform over all of the hours in a Billing Period.  Service provided pursuant 
to Rider RTP – Real Time Pricing, or Rider HSS – Hourly Supply Service, are examples of Time 
of Use Rates. 
 
BILLING METHODOLOGY 
 
  As provided for in 220 ILCS 5/16-107.5 and 220 ILCS 5/16-107.6, a Customer receiving or 
initiating service under this Rider shall be charged and/or credited as follows: 
 
*  When the aggregate generation nameplate capacity for all Customers receiving service under this 
Rider is less than 5% of the total peak demand delivered by the Company during the previous 
year, Customers shall be billed as indicated in the table below: 
 
 
Date of Filing, December 15, 2020  Date Effective, December 24, 2020 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order In 
    10 Executive Drive, Collinsville, IL 62234 
Docket No. 20-0738
*Asterisk denotes change ",RIDER NM – NET METERING      SUBSCRIBER    SUBSCRIPTION    TIME OF USE RATE BILLING METHODOLOGY,['Ameren Illinois Company'],560,17,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
5,4,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  5th Revised Sheet No. 24.004 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 4th Revised Sheet No. 24.004) 
 
RIDER NM – NET METERING 
 
  * 
Type of Net Metering Customer  Billing Methodology 
Rate DS-1 or DS-2, non-time of use power and energy supply,  A 
Private Generation Facility, has not received a Customer 
Generation Rebate 
   
Rate DS-1 or DS-2, non-time of use power and energy supply,  C 
Private Generation Facility, has received a Customer Generation 
Rebate 
   
Rate DS-1 or DS-2, non-time of use power and energy supply,  C 
generation Subscriber, Customer Generation Rebate status not 
relevant 
   
Rate DS-1 or DS-2, time of use power and energy supply,  A 
Private Generation Facility, has not received a Customer 
Generation Rebate 
   
Rate DS-1 or DS-2, time of use power and energy supply,  C 
Private Generation Facility, has received a Customer Generation 
Rebate 
   
Rate DS-1 or DS-2, time of use power and energy supply,  C 
generation Subscriber, Customer Generation Rebate status not 
relevant 
   
Rate DS-3, DS-4, or DS-6, time of use power and energy  B 
supply, Private Generation Facility, Customer Generation Rebate 
status not relevant 
   
Rate DS-3, DS-4, or DS-6, time of use power and energy  B 
supply, generation Subscriber, Customer Generation Rebate 
status not relevant 
 
 
 
 
Date of Filing, August 29, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING    Type of Net Metering Customer  Billing Methodology,"['Ameren Illinois Company', 'supply, Private Generation Facility, Customer Generation Rebate']",356,5,illinois,True,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
6,5,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  7th Revised Sheet No. 24.005 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 6th Revised Sheet No. 24.005) 
 
RIDER NM – NET METERING 
 
 
*  Customers receiving service under this Rider when the aggregate generation nameplate 
capacity for Customers receiving service under this Rider equals or exceeds 5% of the total 
peak demand delivered by the Company during the previous year (""5% threshold"") shall be 
grandfathered and continue to be billed under Methodology A, B, or C as indicated above. 
 
  After the 5% threshold has been met, if Customer's service rate changes, or they elect to 
receive a Customer Generation Rebate, their billing methodology will continue to be 
determined as shown above, as applicable. 
 
*  After the aggregate generation nameplate capacity for Customers receiving service under this 
Rider equals or exceeds 5% of the total peak demand delivered by the Company during the 
previous year, Customers that initiate service under this Rider shall be billed as follows: 
 
Type of Net Metering Customer  Billing Methodology 
Rate DS-1 or DS-2, non-time of use power and energy supply,  C 
Private Generation Facility or generation Subscriber, Customer 
Generation Rebate not relevant 
   
Rate DS-1 or DS-2, time of use power and energy supply,  B 
Private Generation Facility or generation Subscriber, Customer 
Generation Rebate status not relevant  
   
Rate DS-3, DS-4, or DS-6, time of use power and energy  B 
supply, Private Generation Facility or generation Subscriber, 
Customer Generation Rebate status not relevant 
 
 
  Notwithstanding the above, the Company recognizes that the Commission has initiated an 
Investigation under Section 10-101 of the Public Utilities Act to determine whether Rider 
NM-Net Metering requires amendment to comport with Section 16-107.5 of the Public 
Utilities Act (Docket 20-0738). Subject to and without waiving any legal rights, the Company 
will implement revisions to the timing of the above billing methodologies if, and to the extent, 
required by the Commission's Order in the Docket 20-0738 investigation consistent with 
applicable law. 
Date of Filing, December 15, 2020  Date Effective, December 24, 2020  
    Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order in 
    10 Executive Drive, Collinsville, IL 62234 
Docket No. 20-0738
*Asterisk denotes change ",RIDER NM – NET METERING    Type of Net Metering Customer  Billing Methodology,['Ameren Illinois Company'],482,15,illinois,True,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
7,6,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  5th Revised Sheet No. 24.006 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 4th Revised Sheet No. 24.006) 
 
RIDER NM – NET METERING 
 
*  Methodology A:    
 
*  1.  Customer receiving power and energy under non Time of Use Rates: 
 
If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, or the Customer's share of electricity produced by an 
Eligible Facility, the EP shall calculate energy charges based on the net amount 
of electricity purchased by the Customer multiplied by the tariffed or contract 
rate, as applicable.  In addition, the Company shall charge the Customer for 
delivery and other services provided at the applicable tariffed rate.  The 
delivery service charge shall be based on the net amount of electricity used by 
the Customer. 
 
*  If the amount of electricity produced by a Customer's Private Generation 
Facility, or the Customer's share of electricity produced by an Eligible Facility, 
during the Billing Period exceeds the amount of electricity used by the 
Customer during the Billing Period, the Customer shall receive a kilowatt-hour 
credit from the EP equal to the net amount of electricity supplied by the 
Customer during the Billing Period.  The Customer shall receive a Delivery 
Service credit from the Company equal to the net amount of electricity 
supplied.  The EP and/or Company shall carry over any excess kilowatt-hour 
and Delivery Service credits earned and apply those credits to subsequent 
billing periods to offset any Customer consumption in those Billing Periods 
until all credits are used or until the end of the Annual Period.  Unused credits 
will expire at the end of the Customer’s Annual Period or when the Customer 
terminates service from the EP, as applicable.  In addition, the Company shall 
charge the Customer for other services provided at the applicable tariffed rate 
as appropriate. 
 
2.  Customer receiving power and energy under Time of Use Rates: 
 
For each applicable discrete time period, the EP shall multiply the amount of 
net electricity purchased or supplied by the Customer times the tariffed or 
contract rate for electricity supply as appropriate.  The calculated amounts 
shall be summed to determine the Customer’s net energy charge or credit for 
the Billing Period.  The Customer’s EP shall charge or credit the Customer for 
net energy as applicable. 
 
 
Date of Filing, August 29, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING,['Ameren Illinois Company'],555,21,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
8,7,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  2nd Revised Sheet No. 24.007 
Electric Service Schedule Ill. C. C. No. 1  (Canceling 1st Revised Sheet No. 24.007) 
 
RIDER NM – NET METERING 
 
 
*  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, or the Customer's share of electricity produced by an 
Eligible Facility, the Company shall charge the Customer for delivery and other 
services provided at the applicable tariffed rate based on the net amount of 
electricity purchased by the Customer, as appropriate.  If Customer receives a 
net energy credit related to Company provided services, Company shall use the 
credit to offset other service charges. 
 
*  If the amount of electricity produced by a Customer's Private Generation 
Facility, or the Customer's share of electricity produced by an Eligible Facility, 
during the Billing Period exceeds the amount of electricity used by the 
Customer during the Billing Period, the Customer shall receive a credit for 
delivery service based on the net amount of electricity supplied by the 
Customer, multiplied by the appropriate delivery charge. The Company shall 
charge or credit the Customer for services furnished at the applicable tariffed 
rate.  If Customer receives a net energy credit related to Company-provided 
services, Company shall use the credit to offset other service charges.  The EP 
and/or Company shall carry over any excess credits earned and apply those 
credits to subsequent Billing Periods to offset any charges incurred by 
Customer in those Billing Periods until all credits are used or until the end of 
the Annual Period.  Unused credits will expire at the end of the Customer’s 
Annual Period or when the Customer terminates service from the EP, as 
applicable. 
 
*  The Company shall charge the Customer for other services provided at the 
applicable tariffed rate as appropriate. 
 
*  Methodology B: 
 
1.  Customer receiving power and energy under non Time of Use Rates: 
 
*  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, or the Customer's share of electricity produced by an 
Eligible Facility, the EP shall calculate energy charges based on the net amount 
of electricity purchased by the Customer multiplied by the tariffed or contract 
rate, as applicable. 
 
Date of Filing, August 29, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING,['Ameren Illinois Company'],542,20,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
9,8,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 24.008 
Electric Service Schedule Ill. C. C. No. 1  (Canceling Original Sheet No. 24.008) 
 
RIDER NM – NET METERING 
 
 
*  If the amount of electricity produced by a Customer's Private Generation 
Facility or the Customer's share of electricity produced by an Eligible Facility 
during the Billing Period exceeds the amount of electricity used by the 
Customer during the Billing Period, the Customer shall receive a credit from 
the EP equal to the net amount of electricity supplied by the Customer during 
the Billing Period multiplied by the EP’s tariffed or contract rate for electricity 
supply as appropriate. 
 
*  In addition, the Company shall charge the Customer for delivery and other 
services, other than electric power and energy, provided at the applicable 
tariffed rate based on the Gross Amount of Electricity used by the Customer.  
If Customer receives a net energy credit related to Company-provided services, 
Company shall use the credit to offset other service charges. 
 
2.  Customer receiving power and energy under Time of Use Rates: 
 
*  For each applicable discrete time period where electricity used by Customer 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, or the Customer's share of electricity produced by an 
Eligible Facility, the EP shall multiply the amount of net electricity purchased 
by the Customer times the tariffed or contract rate for electricity supply as 
appropriate. 
 
*  If the amount of electricity produced by a Customer's Private Generation 
Facility, or the Customer's share of a electricity produced by an Eligible 
Facility, during the time of use period exceeds the amount of electricity used by 
the Customer during the time of use period, the net kilowatt-hours produced 
shall be valued at the same price per kilowatt-hour as the electric service 
provider would charge for retail kilowatt-hour sales during that same time of 
use period.  The calculated amounts shall be summed to determine the 
Customer’s net energy charge or credit for the Billing Period.  The Customer’s 
EP shall charge or credit the Customer for net energy as applicable. 
 
*  The Company shall charge the Customer for delivery and other services, other 
than electric power and energy, provided at the applicable tariffed rate based 
on the Gross Amount of Electricity purchased by the Customer, as appropriate.  
If Customer receives a net energy credit related to Company provided services, 
Company shall use the credit to offset service charges in that Billing Period. 
Date of Filing, September 28, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING,['Ameren Illinois Company'],570,22,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
10,9,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 24.009 
Electric Service Schedule Ill. C. C. No. 1  (Canceling Original Sheet No. 24.009) 
 
RIDER NM – NET METERING 
 
 
*  The status of whether or not a Customer, or the owner/operator of an Eligible Facility, 
receives a distributed generation rebate will not impact the basis of the calculation 
associated with delivery or other services. 
 
*  Methodology C: 
 
*  1.  Customer receiving power and energy under non-Time of Use Rates: 
 
*  The Company shall charge the Customer for delivery and other services, other 
than electric power and energy, provided at the applicable tariffed rate based 
on the Gross Amount of Electricity used by the Customer, as applicable. 
 
*  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility or the Customer's share of the electricity produced by an 
Eligible Facility, the EP shall calculate energy charges based on the net amount 
of electricity purchased by the Customer multiplied by the tariffed or contract 
rate, as applicable. 
 
*  If the amount of electricity produced by a Customer's Private Generation 
Facility or the Customer's share of the electricity produced by an Eligible 
Facility during the Billing Period exceeds the amount of electricity used by the 
Customer during the Billing Period, the Customer shall receive a kilowatt-hour 
credit from the EP equal to the net amount of electricity supplied by the 
Customer during the Billing Period multiplied by the EP’s tariffed or contract 
rate for electricity supply as appropriate. 
 
*  The EP and/or Company shall carry over any excess kilowatt-hour credits 
earned and apply those credits to subsequent billing periods to offset any 
Customer consumption in those Billing Periods until all credits are used or until 
the end of the Annual Period.  Unused credits will expire at the end of the 
Customer’s Annual Period or when the Customer terminates service from the 
EP, as applicable. 
 
 
 
Date of Filing, September 28, 2017  Date Effective, September 29, 2017 
    Issued by R.J. Mark, President & CEO 
Issued pursuant to Public Act 99-0906
    6 Executive Drive, Collinsville, IL 62234 
which is effective as of June 1, 2017
*Asterisk denotes change ",RIDER NM – NET METERING,['Ameren Illinois Company'],474,20,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - Owned NEM 11.2022.pdf
