seq,page_num,content,chapter_title,all_sections,count_words,count_sent,state,is_table,book_title,book_path
1,0,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois   2nd Revised Sheet No. 29 
Electric Service Schedule Ill. C. C. No. 1  (Canceling Original Sheet No. 29) 
 
RIDER NM2 – NET METERING 2 
 
 
PURPOSE 
 
  The purpose of this tariff is to establish an offering of net electricity metering service in  
the Company’s service territory, in compliance with 220 ILCS 5/16-107.5 and 83 Ill. 
Adm. Code 465. 
 
AVAILABILITY 
 
  With the exception of billing Subscribers under Methodology C, upon Commission approval of 
Rider NM2, the provisions of this tariff shall be available with the first full Billing Period after 
completion of the programming and development of the information technology infrastructure 
necessary to support the specialized billing to comply with changes mandated by PA102-0662 to 
Section 5/16-107.5, which is anticipated to be no sooner than April 2023 (Operation Date). Prior 
to the Operation Date of this Rider, the provisions of Rider NM – Net Metering shall apply to 
customers taking net metering service.  Moreover, to the extent applicable, the service provisions 
applicable to customers under Rider NM shall transfer to this Rider NM2 after the Operation 
Date.  Billing changes applicable to Subscribers under Methodology C will be effective June 1, 
2022, and Ameren Illinois will calculate and issue any credits that have been accruing from June 
1, 2022 if the development of the information technology infrastructure necessary to support the 
specialized billing to comply with changes mandated by PA102-0662 to Section 5/16-107.5 are 
not completed by June 1, 2022. 
 
Rider NM2 – Net Metering 2 (Rider NM2) is available to Customers receiving power and energy 
from the Company or a Retail Electric Supplier (RES), that are considered an Eligible Customer 
as defined in Subsection 220 ILCS 5/16-107.5(b)(ii) of the Public Utilities Act (Act), or a 
Subscriber as defined in 20 ILCS 3855/1-10 of a project that falls within the parameters specified 
in Subsection 16-107.5(l) of the Act.  A Customer is not allowed to simultaneously take service 
under this Rider NM and service under Rider QF – Qualifying Facilities (Rider QF).  A 
Customer is not allowed to simultaneously take service under this Rider NM and service under 
Rider PTR – Peak Time Rewards (Rider PTR).  A Customer must successfully complete an 
Application for Service in compliance with 83 Ill. Adm. Code 465, and Customers with on-site 
private generation must comply with the interconnection requirements within 83 Ill. Adm. Code 
466.  Project owners providing Subscriptions may register their Subscribers for service under this 
tariff with the consent of the Subscriber.  Customers may be eligible to receive service under this 
tariff simultaneously from multiple Subscriptions or combined on-site private generation.   
 
  Applications for service under this Rider can be made by accessing the necessary information on 
the Company’s website www.amerenillinois.com or by contacting the Company. 
 
   
 
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2    PURPOSE AVAILABILITY,['Ameren Illinois Company'],628,19,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
2,1,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.001 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
DEFINITIONS 
 
ANNUAL PERIOD 
Annual Period means the period of 12 consecutive monthly Billing Periods ending on the last 
day of either the net metering Customer’s April monthly Billing Period or its October monthly 
Billing Period, whichever was selected by the Customer in connection with its application for net 
metering. 
 
  COLLECTIVELY-OWNED GENERATION FACILITIES or COGF 
Collectively-Owned Generation Facilities or COGF means an electric generating facility located 
in the  Company's service territory with a nameplate capacity of not more than 5,000 kilowatts 
(kW) powered by solar electric energy, wind, dedicated crops grown for electricity generation, 
agricultural residues, untreated and unadulterated wood waste, livestock manure, anaerobic 
digestion of livestock or food processing waste, fuel cells or micro turbines powered by 
renewable fuels, or hydroelectric energy; interconnected at distribution level voltages under the 
provisions of 83 Ill. Adm. Code 466; located at a single Premises and located on the same 
Premises as the building or buildings that are the recipient of its output; and having multiple 
recipients of the generating facility's output such as individual units, apartments, or properties 
located in a single building that are owned or leased by multiple customers, including but not 
limited to an office or apartment building, a shopping center or strip mall served by photovoltaic 
panels on the building's roof. 
 
  COMMUNITY RENEWABLE GENERATION PROJECT or CRGP 
Community Renewable Generation Project or CRGP means an electric generating facility 
located in the Company's service territory with a nameplate capacity of not more than 5,000 kW 
powered by wind, solar thermal energy, photovoltaic cells or panels, biodiesel, crops and 
untreated and unadulterated organic waste biomass, and hydropower that is not sourced from 
hydropower dams built or significantly expanded after June 1, 2017; interconnected at 
distribution level voltages under the provisions of 83 Ill. Adm. Code 466; and whose 
owner/operator offers Subscriptions for the generator's output under the provisions of 220 ILCS 
5/16-107.5. 
 
COMPETITIVE ELECTRIC SERVICE 
Competitive Electric Service means Customers within delivery service classes that have been 
declared competitive by the Illinois Commerce Commission under the provisions of 220 ILCS 
5/16-113(a). At the time of the passage of PA 102-0662, the Company's Competitive service 
classes are Customers in the DS-3 and DS-4 Delivery Service Rates. 
 
 
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2    DEFINITIONS ANNUAL PERIOD   COLLECTIVELY-OWNED GENERATION FACILITIES or COGF    COMMUNITY RENEWABLE GENERATION PROJECT or CRGP  COMPETITIVE ELECTRIC SERVICE,['Ameren Illinois Company'],542,14,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
3,2,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.002 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
ELECTRICITY PROVIDER or EP 
  Electricity Provider or EP means an electric utility or a RES. The Electricity Provider provides 
electric power and energy supply service to the Eligible Customer. 
 
  ELIGIBLE CUSTOMER 
  Eligible Customer under this Rider means a Retail Customer that owns, hosts or operates, 
including any third-party owned systems, a solar, wind, or other eligible renewable electrical 
generating facility that is located on the Customer’s Premises or Customer's side of the billing 
meter and is intended primarily to offset the Customer’s own current or Future Electrical 
Requirements, or is a Subscriber to a CRGP or LICS. 
 
      ENERGY STORAGE SYSTEM 
Energy Storage System means commercially available technology that is capable of absorbing 
energy and storing it for a period of time for use at a later time, including, but not limited to, 
electrochemical, thermal, and electromechanical technologies, and may be interconnected and 
fixed behind the customer's meter or interconnected behind its own meter.  
 
  ELIGIBLE FACILITY 
  Eligible Facility means a COGF, CRGP, LICS, or Private Generation Facility. 
 
  FUTURE ELECTRICAL REQUIREMENTS 
Future Electrical Requirements means modeled electrical requirements upon occupation of a new 
or vacant property, and other reasonable expectations of future electrical use, as well as, for 
occupied properties, a reasonable approximation of the incremental electric load associated with 
fuel switching. The approximations shall be applied to the appropriate net metering tariff and do 
not need to be unique to each individual Eligible Customer. The utility shall submit these 
approximations to the Commission for review, modification, and approval.  
 
  GROSS AMOUNT OF ELECTRICITY 
Gross Amount of Electricity means all electricity delivered to the Customer through their meter 
at the point of interconnection.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2    ELECTRICITY PROVIDER or EP   ELIGIBLE CUSTOMER       ENERGY STORAGE SYSTEM    ELIGIBLE FACILITY   FUTURE ELECTRICAL REQUIREMENTS    GROSS AMOUNT OF ELECTRICITY,['Ameren Illinois Company'],424,15,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
4,3,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.003 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
  LOW INCOME COMMUNITY SOLAR or LICS 
Low Income Community Solar or LICS means an electric generating facility located in the 
Company's service territory, approved by the IPA per the provisions of 20 ILCS 3855/1-56 (b)(2) 
and whose nameplate capacity may exceed 2,000 kW; that is powered by solar energy; is exempt 
from the requirement that a ""qualified person"" as defined in 20 ILCS 3855/1-56(i)(1) installed 
the facility; is designated by the Illinois Power Agency as a Eligible Facility offering 
Subscriptions under the pilot program offered through 20 ILCS 3855/1-56(b)(2)(D) and is 
otherwise interconnected under the provisions of either 83 Ill. Adm. Code 466 or 83 Ill. Adm. 
Code 467.  A LICS generating facility that requests to receive service under this Rider must have 
a nameplate capacity of not more than 5,000 kW. 
 
  PRIVATE GENERATION FACILITY 
Private Generation Facility means a solar, wind, or other eligible renewable electric generating 
facility, which may include co-location of an Energy Storage System, that is located on the 
Customer's side of the billing meter, which is intended to primarily offset the Customer's own 
current or Future Electrical Requirements, and is interconnected under the provisions of either 83 
Ill. Adm. Code 466 or 83 Ill. Adm. Code 467. 
 
  SUBSCRIBER 
Subscriber means a Retail Customer who has a Subscription of no less than 200 watts to a CRGP 
or LICS that is located in the electric utility's service area and has agreed to the service under the 
terms of this Rider NM – Net Metering. No Subscriber's Subscription may total more than 40% 
of the nameplate capacity of an individual CRGP or LICS. Entities that are affiliated by virtue of 
a common parent shall not represent multiple subscriptions that total more than 40% of the 
nameplate capacity of an individual CRGP or LICS.  A Subscriber may have a Subscription in 
more than one CRGP or LICS. A COGF-participating Customer is not considered a Subscriber. 
 
  SUBSCRIPTION 
Subscription means an interest in a CRGP or LICS expressed in kilowatts, which is sized 
primarily to offset part or all of the Subscriber's electricity usage.  A Customer's Subscription 
shall be portable so that the Subscription may be retained by the Subscriber even if the Subscriber 
relocates or changes its address within the Company's service territory.  A Customer's 
Subscription shall be transferable so that the Subscriber may assign or sell its Subscription to 
another person within the Company's service territory.  The terms and conditions for any sale, 
assignment, or transfer of Subscriptions are not a part of service provided by the Company, and it 
shall be the sole responsibility of the Eligible Facility or operator to notify the Company of all 
changes in the billing for any sale, assignment, or transfer of a Subscription.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2      LOW INCOME COMMUNITY SOLAR or LICS    PRIVATE GENERATION FACILITY    SUBSCRIBER    SUBSCRIPTION,['Ameren Illinois Company'],638,16,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
5,4,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.004 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
  TIME OF USE RATE 
  Time of Use Rate means any contract or tariff under which the kWh price for electric power and 
energy supply is not uniform over all of the hours in a Billing Period.  Service provided pursuant 
to Rider RTP – Real Time Pricing, or Rider HSS – Hourly Supply Service, are examples of Time 
of Use Rates. 
 
TOTAL PRICE TO COMPARE 
  Total Price to Compare means the rate or rates using the methodology employed by the Illinois 
Commerce Commission to determine and publish the energy supply rate for eligible retail 
customers, as defined in Section 16-111.5 of the Act, receiving supply service from the 
Company and shall include energy, capacity, transmission, and the purchased energy adjustment. 
 
 
BILLING METHODOLOGY 
 
  As provided for in 220 ILCS 5/16-107.5 and 220 ILCS 5/16-107.6, a Customer receiving or 
initiating service under this Rider shall be charged and/or credited as indicated in the tables 
below. 
 
  Prior to January 1, 2025, Customers shall be billed as indicated in the table below: 
 
   
Type of Net Metering Customer  Billing Methodology 
Rate DS-1 or DS-2, non-time of use power and energy supply,  A 
Private Generation Facility, has not received a Customer 
Generation Rebate 
   
Rate DS-1 or DS-2, non-time of use power and energy supply,  C 
Private Generation Facility, has received a Customer 
Generation Rebate 
   
Rate DS-1 or DS-2, time of use power and energy supply,  A 
Private Generation Facility, has not received a Customer 
Generation Rebate 
   
Rate DS-1 or DS-2, time of use power and energy supply,  C 
Private Generation Facility, has received a Customer 
Generation Rebate 
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2      TIME OF USE RATE TOTAL PRICE TO COMPARE BILLING METHODOLOGY Type of Net Metering Customer  Billing Methodology,['Ameren Illinois Company'],423,11,illinois,True,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
6,5,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.005 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
Rate DS-3, DS-4, or DS-6, time of use power and energy  B 
supply, Private Generation Facility, Customer Generation 
Rebate status not relevant 
   
Rate DS-3, DS-4, or DS-6, generation Subscriber, Customer  D 
Generation Rebate status not relevant 
   
Rate DS-1 or DS-2, generation Subscriber, Customer  C 
Generation Rebate status not relevant 
 
Customers receiving service under this Rider before January 1, 2025, whose service has not been 
declared Competitive, shall be grandfathered and continue to be billed under Methodology A as 
indicated above for the lifetime of the Private Generation Facility, regardless of whether those retail 
Customers change electricity providers or whether the retail Customer at the Premises changes. The 
lifetime of a system shall be considered 25 years from the date of installation of the Private 
Generation Facility.  
 
If the Customer's Delivery Service rate class changes, the Customer shall still be eligible to be billed 
under Methodology A, B or C as indicated, even if such change occurs after January 1, 2025. 
 
After January 1, 2025, Customers that initiate service under this Rider shall be billed as follows: 
 
Type of Net Metering Customer  Billing Methodology 
Rate DS-1 or DS-2, non-time of use power and energy supply,  C 
Private Generation Facility or generation Subscriber, 
Customer Generation Rebate not relevant 
   
Rate DS-1 or DS-2, time of use power and energy supply,  C 
Private Generation Facility or generation Subscriber, 
Customer Generation Rebate status not relevant  
   
Rate DS-3, DS-4, or DS-6, time of use power and energy  B 
supply, Private Generation Facility, Customer Generation 
Rebate status not relevant 
   
Rate DS-3, DS-4, or DS-6, generation Subscriber, Customer  D 
Generation Rebate status not relevant   
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2    Type of Net Metering Customer  Billing Methodology,['Ameren Illinois Company'],437,7,illinois,True,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
7,6,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.006 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
  Methodology A:    
 
  1.  Customer receiving power and energy under non Time of Use Rates: 
 
If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall calculate energy charges based on the 
net amount of electricity purchased by the Customer multiplied by the tariffed 
or contract rate, as applicable.  In addition, the Company shall charge the 
Customer for delivery and other services provided at the applicable tariffed 
rate.  The delivery service charge shall be based on the net amount of 
electricity used by the Customer. 
 
If the amount of electricity produced by a Customer's Private Generation 
Facility, during the Billing Period exceeds the amount of electricity used by 
the Customer during the Billing Period, the Customer shall receive a kilowatt-
hour credit from the Company equal to the net amount of electricity supplied 
by the Customer during the Billing Period.  The Customer shall receive a 
Delivery Service credit from the Company equal to the net amount of 
electricity supplied.  The Company shall carry over any excess kilowatt-hour 
and Delivery Service credits earned and apply those credits to subsequent 
billing periods to offset any Customer consumption in those Billing Periods 
until all credits are used or until the end of the Annual Period.  Unused credits 
will expire at the end of the Customer’s Annual Period or when the Customer 
terminates service from the EP, as applicable.  In addition, the Company shall 
charge the Customer for other services provided at the applicable tariffed rate 
as appropriate. 
 
2.  Customer receiving power and energy under Time of Use Rates: 
 
For each applicable discrete time period, the Company shall multiply the 
amount of net electricity purchased or supplied by the Customer times the 
tariffed or contract rate for electricity supply as appropriate.  The calculated 
amounts shall be summed to determine the Customer’s net energy charge or 
credit for the Billing Period.  The Company shall charge or credit the 
Customer for net energy as applicable.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2,['Ameren Illinois Company'],498,21,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
8,7,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.007 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall charge the Customer for delivery and 
other services provided at the applicable tariffed rate based on the net amount 
of electricity purchased by the Customer, as appropriate.  If Customer receives 
a net energy credit related to Company provided services, Company shall use 
the credit to offset other service charges. 
 
  If the amount of electricity produced by a Customer's Private Generation 
Facility, during the Billing Period exceeds the amount of electricity used by 
the Customer during the Billing Period, the Customer shall receive a credit for 
delivery service based on the net amount of electricity supplied by the 
Customer, multiplied by the appropriate delivery charge. The Company shall 
charge or credit the Customer for services furnished at the applicable tariffed 
rate.  If Customer receives a net energy credit related to Company-provided 
services, Company shall use the credit to offset other service charges.  The 
Company shall carry over any excess credits earned and apply those credits to 
subsequent Billing Periods to offset any charges incurred by Customer in 
those Billing Periods until all credits are used or until the end of the Annual 
Period.  Unused credits will expire at the end of the Customer’s Annual Period 
or when the Customer terminates service from the EP, as applicable. 
 
The Company shall charge the Customer for other services provided at the 
applicable tariffed rate as appropriate. 
 
  Methodology B: 
 
1.  Customer receiving power and energy under non Time of Use Rates: 
 
  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall calculate energy charges based on the 
net amount of electricity purchased by the Customer multiplied by the tariffed 
or contract rate, as applicable. 
 
  If the amount of electricity produced by a Customer's Private Generation 
Facility during the Billing Period exceeds the amount of electricity used by 
the Customer during the Billing Period, the Customer shall receive a credit 
from the Company equal to the net amount of electricity supplied by the 
Customer during the Billing Period multiplied by the EP’s tariffed or contract 
rate for electricity supply as appropriate.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2,['Ameren Illinois Company'],545,19,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
9,8,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.008 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
In addition, the Company shall charge the Customer for delivery and other 
services, other than electric power and energy, provided at the applicable 
tariffed rate based on the Gross Amount of Electricity used by the Customer.  
If Customer receives a net energy credit related to Company-provided 
services, Company shall use the credit to offset other service charges. 
 
2.  Customer receiving power and energy under Time of Use Rates: 
 
  For each applicable discrete time period where electricity used by Customer 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall multiply the amount of net electricity 
purchased by the Customer times the tariffed or contract rate for electricity 
supply as appropriate. 
 
  If the amount of electricity produced by a Customer's Private Generation 
Facility, during the time of use period exceeds the amount of electricity used 
by the Customer during the time of use period, the net kilowatt hours 
produced shall be valued at the same price per kilowatt hour as the Company 
would charge for retail kilowatt hour sales during that same time of use 
period.  The calculated amounts shall be summed to determine the Customer’s 
net energy charge or credit for the Billing Period.  The Company shall charge 
or credit the Customer for net energy as applicable. 
 
The Company shall charge the Customer for delivery and other services, other than 
electric power and energy, provided at the applicable tariffed rate based on the Gross 
Amount of Electricity purchased by the Customer, as appropriate.  If Customer receives a 
net energy credit related to Company provided services, Company shall use the credit to 
offset service charges in that Billing Period. 
 
The status of whether or not a Customer, or the owner/operator of an Eligible Facility, 
receives a distributed generation rebate will not impact the basis of the calculation 
associated with delivery or other services. 
 
  Methodology C: 
 
  1.  Customer receiving power and energy under non-Time of Use Rates: 
 
  The Company shall charge the Customer for delivery and other services, other 
than electric power and energy, and transmission services, provided at the 
applicable tariffed rate based on the Gross Amount of Electricity used by the 
Customer, as applicable.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2,['Ameren Illinois Company'],530,20,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
10,9,"Ameren Illinois Company  Ill. C. C. No. 1 
d/b/a Ameren Illinois  1st Revised Sheet No. 29.009 
Electric Service Schedule Ill. C. C. No. 1   
 
RIDER NM2 – NET METERING 2 
 
 
  If the amount of electricity used by the Customer during the Billing Period 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall calculate energy and transmission 
charges based on the net amount of electricity purchased by the Customer 
multiplied by the tariffed or contract rate, as applicable. 
 
  If the amount of electricity produced by a Customer's Private Generation 
Facility during the Billing Period exceeds the amount of electricity used by 
the Customer during the Billing Period, the Customer shall receive a kilowatt-
hour energy or monetary credit from the Company equal to the net amount of 
electricity supplied by the Customer during the Billing Period multiplied by 
the EP’s tariffed or contract rate for electricity supply and transmission 
charges as appropriate. 
 
  The Company shall carry over any excess kilowatt-hour credits earned and 
apply those credits to subsequent billing periods to offset any Customer 
consumption in those Billing Periods until all credits are used. 
 
  If the Customer is a Subscriber, the Company will provide monetary credits at 
the Company's Total Price to Compare equal to the subscribers share of the 
production of the electricity from the CRGP or LICS.  
 
  2.  Customers receiving power and energy under Time of Use Rates: 
 
The Company shall charge the Customer for delivery and other services, other 
than electric power and energy and transmission services, provided at the 
applicable tariffed rate based on the Gross Amount of Electricity purchased by 
the Customer, as appropriate. 
 
For each applicable discrete time period where electricity used by Customer 
exceeds the amount of electricity produced by the Customer's Private 
Generation Facility, the Company shall multiply the amount of net electricity 
purchased by the Customer times the tariffed or contract rate for electricity 
supply and transmission charges as appropriate.
Date of Filing, January 19, 2022  Date Effective, January 20, 2022 
      Issued by R.J. Mark, President & CEO 
Issued pursuant to ICC Order
  10 Executive Drive, Collinsville, IL 62234 
in Docket No. 21-0859  
 ",RIDER NM2 – NET METERING 2,['Ameren Illinois Company'],438,15,illinois,False,ameren illinois company - rider nm2 – net metering 2,docs/raw/dump/illinois/IL Ameren - TPO NEM 11.2022.pdf
