seq,page_num,content,chapter_title,all_sections,count_words,count_sent,state,is_table,book_title,book_path
1,9,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
 
1. Introduction 
This document constitutes the final version of the 2022 Revised Long-Term Renewable Resources 
Procurement Plan (“2022 Long-Term Plan,” or “Plan”) of the Illinois Power Agency (“IPA” or 
“Agency”)  consistent  with  the  Final  Order  of  the  Illinois  Commerce  Commission  (“ICC”  or 
“Commission”) entered on July 14, 2022.   
This Plan reflects substantial changes made to the Illinois Renewable Portfolio Standard (“Illinois 
RPS” or “RPS”) through the enactment of Public Act 102-0662 (colloquially known as the “Climate 
and Equitable Jobs Act”) on September 15, 2021. The Plan also presents certain updates that the 
Agency had previously proposed in a draft Second Revised Long-Term Plan, which the Agency 
withdrew from public comments after the enactment of Public Act 102-0662.  This Plan will cover 
the renewable energy procurement and programmatic activities conducted by the Agency over the 
next two years. 
1.1. Background 
The Initial Long-Term Renewable Resources Procurement Plan (“Initial Plan”) was developed by the 
IPA pursuant to the provisions of Sections 1-56(b) and 1-75(c) of the Illinois Power Agency Act (“Act” 
or “IPA Act”), and Section 16-111.5 of the Public Utilities Act (“PUA”).  That Initial Plan1 was 
developed  under  authority  established  through  Public  Act  99-0906  (“P.A.  99-0906”),  enacted 
December 7, 2016 (effective June 1, 2017), which substantially revised the Illinois Renewable 
Portfolio Standard (“Illinois RPS” or “RPS”).  The Initial Plan was approved by the Commission on 
April  3,  2018  in  Docket  No.  17-0838  and  covered  the  Agency’s  renewable  energy  resources 
procurement and programmatic activities for the following two years.  The Agency published the 
final Initial Plan on August 6, 2018.  
Section 16-111.5(b)(5)(ii)(B) of the PUA provides that “[the Agency] shall review, and may revise, 
the plan at least every 2 years thereafter.”  That subparagraph further provides that “[t]o the extent 
practicable, the Agency shall review and propose any revisions to the long-term renewable energy 
resources procurement plan in conjunction with the Agency's other planning and approval processes 
conducted under this Section.” The first Long-Term Plan update process was undertaken by the 
Agency in 2019 starting with stakeholder feedback opportunities, and on August 15, 2019, a draft 
Revised Plan was released for public comment concurrently with the IPA’s release of its draft 2020 
Electricity Procurement Plan.  The Revised Plan was filed for Commission approval on October 21, 
2019 and reflected the Agency’s consideration of comments received.   
Under Section 16-111.5(b)(5)(ii)(C) of the PUA, the Commission then had 120 days to review the 
Revised Plan and enter its Order confirming or modifying the Plan. The Commission approved that 
Plan on February 18, 2020 and the Agency published a final version (“First Revised Plan”) on April 
20, 2020. The Agency subsequently petitioned the Commission to reopen the First Revised Plan to 
provide modifications addressing pressing RPS budget issues on March 3, 2021. The Commission 
 
1 The Initial Plan is available at 
https://www2.illinois.gov/sites/ipa/Documents/2019ProcurementPlan/Long%20Term%20Renewable%20Resources%20Procuremen
t%20Plan%20%288-6-18%29.pdf. 
1 
 ",1. Introduction ,['1. Introduction '],717,21,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
2,10,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
approved those modifications on May 27, 2021 and the Agency filed a First Revised Plan on 
Reopening in conformance with that Order on June 7, 2021. 
Following that two-year plan updating cycle, the Agency then again conducted stakeholder feedback 
opportunities and released a draft Second Revised Long-Term Plan on August 16, 2021 for public 
comment (concurrent with the release of the draft 2022 Electricity Procurement Plan). However, 
before comments on that Plan were due, in early September of 2021 the General Assembly passed 
comprehensive energy legislation in the form of amendments to Senate Bill 2408. That legislation 
was signed by the Governor, and became effective, on September 15, 2021 as Public Act 102-0662. 
That Act contained a provision that within 120 days, after its effective date, “the Agency shall release 
for comment a revision to the long-term renewable resources procurement plan, updating elements 
of the most recently approved plan as needed to comply with this amendatory Act of the 102nd 
General Assembly, and any long-term renewable resources procurement plan update published by 
the Agency but not yet approved by the Illinois Commerce Commission shall be withdrawn for public 
comment.” As a result, the Agency withdrew the draft Second Revised Plan and began the process of 
preparing a draft 2022 Long-Term Plan.  
For  this  new  2022  Long-Term  Plan,  the  Agency  issued  requests  for  stakeholder  feedback  in 
November 2021 and released a draft 2022 Long-Term Plan on January 13, 2022. After the receipt of 
public comments on that draft Plan, the Agency updated the Plan and filed the 2022 Long-Term Plan 
for approval by the Illinois Commerce Commission on March 21, 2022 in Docket No. 22-0231 and the 
Commission approved that Plan with modification on July 14, 2022.  
This Final Plan reflects changes arising from the Commission’s Order confirming and modifying the 
filed Plan. The Plan as filed has been amended consistent with the IPA’s understanding of the Final 
Order issued by the Commission in Docket No. 22-0231. While the Agency has strived to fully and 
accurately  reflect  the  Commission’s  Order  in  this  update,  in  the  case  of  any  unintended 
inconsistencies between this Final Plan and the Commission’s Order, the Final Order issued by the 
Commission shall govern.   
See Chapter 2 for additional information on the Plan approval process. 
1.2. Evolution of Long-Term Plans 
The Initial Plan addressed the Agency’s proposed set of programs and competitive procurements to 
acquire renewable energy credits (“RECs”) for RPS compliance obligations applicable to three Illinois 
electric utilities: Ameren Illinois Company (“Ameren Illinois”), Commonwealth Edison Company 
(“ComEd”), and MidAmerican Energy Company (“MidAmerican”).  The Initial Plan also described how 
the Agency would develop and implement the Illinois Solar for All (“ILSFA”) Program, which utilizes 
a combination of funds held by the Agency in the Renewable Energy Resources Fund (“RERF”) and 
funds supplied by the utilities from ratepayer collections, to support the development of photovoltaic 
(“PV”) resources, along with job training opportunities (supported separately) to benefit low-income 
households and environmental justice communities across the State of Illinois. The First Revised Plan 
updated those programs and procurements where applicable. 
The First Revised Plan covered the Agency’s proposals for procurements and program activity to be 
conducted during calendar years 2020 and 2021.  As discussed throughout that Plan, absent 
legislative changes, RPS budget limitations would constrain the ability of the Agency to conduct 
additional procurements or expand program capacity for its Adjustable Block Program. That concern 
2 
 ",1. Introduction ,[],769,21,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
3,11,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
proved accurate, and the Agency was unable to open additional blocks of capacity for the Adjustable 
Block Program beyond those envisioned through the Initial Plan. However, Public Act 102-0662 
required opening new blocks of Adjustable Block Program capacity prior to the approval of a new 
Long-Term  Plan  by  December  14,  2021.  P.A.  102-0662  also  mandated  that  the  Agency  hold 
procurements for RECs from new utility-scale wind, solar, and brownfield site photovoltaic projects 
prior to this Plan’s approval; those procurements occurred in May 2022.  
Public Act 102-0662 contains significant changes to the RPS. Key changes include: 
•  New “40% by 2030” and “50% by 2040” RPS goals, including a new target of 45 million RECs 
from new wind and solar projects delivered annually by 2030.  
•  An increase of the rate used for collections from ratepayers of funding, and changes to 
accounting procedures to provide more flexibility for the timing of expenditures. 
•  Changes to REC procurements conducted to support new utility-scale wind and solar projects 
through incorporating Indexed REC pricing. 
•  A large customer self-direct program that allows very large electric customer to directly 
procure REC from new utility-scale wind and solar projects and reduce their RPS compliance 
costs. 
•  Changes to the Adjustable Block Program to create three new categories of projects for 
projects located at public schools, community-driven community solar, and projects from 
equity eligible contractors.   
•  Changes to the Illinois Solar for All Program including dedicated support for projects that 
promote energy sovereignty.  
•  Expansion, reinforcement, and codification of consumer protection standards applicable to 
transactions under IPA programs.   
•  New  diversity,  equity,  and  inclusion  requirements  on  the  renewable  energy  industry, 
including the implementation of an Equity Accountability System for Agency’s renewable 
energy programs and procurements. 
•  Labor requirements, including prevailing wage requirements, applicable to the Agency’s 
renewable energy programs and procurements.   
This 2022 Long-Term Plan describes how the Agency will implement these and other new provisions. 
The Plan also includes incorporates certain proposals previously contained in the withdrawn Second 
Revised Plan that the Agency believed would improve programs and procurements.  
The Agency has restructured this Plan compared to previous versions. This includes new chapters 
and reorganized sections within chapters. Therefore, section references to previous plans are likely 
not applicable to this 2022 Long-Term Plan.  
With the finalization of the 2022 Long-Term Plan, the Agency will next update the Long-Term Plan 
starting in 2023 for approval in 2024 to cover activities for 2024 and 2025.  
1.3. First Revised Plan Accomplishments 
Subsequent to the approval of the First Revised Plan by the Commission on February 21, 2020, the 
programs and procurements discussed in this Plan met the following milestones: 
•  Block capacity for the Adjustable Block Program filled (by March 2020 for Large Distributed 
Generation; December 2020 for Small Distributed Generation).  
3 
 ",1. Introduction ,[],638,24,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
4,12,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
•  The third program year of the Illinois Solar for All Program opened in June 2020. Project 
applications filled the available funding for the non-profit/public facilities and low-income 
community solar sub-programs, while project applications in the distributed generation sub-
program continued to not meet program goals. The fourth year of the program opened in June 
2021. 
•  A new-wind forward procurement (1 million RECs annually from new utility-scale wind 
projects) was conducted in March 2021. No projects were selected. 
Additionally, many program materials were updated (including Marketing Guidelines, Disclosure 
Forms, the Adjustable Block Program Guidebook, and individual program websites) and the Agency 
has conducted numerous stakeholder feedback and comment processes.   
The ongoing COVID-19 global pandemic significantly contributed to delays in project completions in 
2020 and 2021. Nonetheless, as of the finalization of this 2022 Long-Term Plan, 98% of Distributed 
Generation projects and 84% of Community Solar projects from initial Adjustable Block Program 
blocks have been energized and processed for REC payments.  
1.4. Plan Organization 
This 2022 Long-Term Plan contains 10 chapters. 
Chapter 1 is the Introduction, which contains a brief overview of the Plan and a set of action items 
the Agency requested the Commission expressly adopt as part of its approval of this Plan. 
Chapter 2 provides an overview of the statutory requirements governing this Plan contained in the 
Illinois Power Agency Act and the Public Utilities Act, including a historical overview of the Illinois 
RPS’s development and evolution and an outline of the significant changes in Illinois law resulting 
from the enactment of Public Act 102-0662.  
Chapter 3 contains calculations of RPS targets, summaries of RPS portfolios, and summaries of RPS 
budgets.  
Chapter 4 discusses the eligibility of RECs for use in the Illinois RPS. Specifically, it addresses two 
requirements of the RPS: eligibility of RECs from facilities in adjacent states, and the requirement 
that RECs cannot be procured from facilities that recover their costs through regulated rates. 
Chapter 5 describes the competitive procurement process and the procurements the Agency plans to 
conduct for the delivery of RECs from new utility-scale wind and solar projects and brownfield site 
photovoltaic projects.  
Chapter 6 describes the new large customer self-direct program to be implemented by the Agency. 
This program does not feature the procurement of RECs by the Agency on behalf of the utilities, but 
instead authorizes a credit for certain qualifying REC purchases through long-term contracts by large 
electric customers.  
Chapter 7 describes the Adjustable Block Program, which includes details on the following: the 
structure of the blocks; program categories; REC prices; the application process; payment terms; the 
process for approving vendors and designees; project specifications; delivery requirements; and 
more. This chapter consolidates chapters 6 and 7 in the previous plans, which separately considered 
provisions  related  to  distributed  generation  and  community  solar.  Considerations  related  to 
consumer protections are now contained in a new Chapter 9. 
4 
 ",1. Introduction ,[],627,26,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
5,13,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
Chapter 8 describes the Illinois Solar for All Program including the program funding and design, 
customer terms, conditions, and eligibility, and the approach for designating environmental justice 
communities.  
Chapter 9 describes how the Agency implements consumer protection standards. Public Act 102-
0662 created new statutory provisions related to consumer protections in IPA programs, and this 
chapter codifies the Agency’s approach to implementing those requirements. 
Chapter 10 describes the Agency’s commitment to diversity, equity, and inclusion in the renewable 
energy industry through the implementation of the Equity Accountability System, conducting a racial 
disparity study, and development of an Energy Workforce Equity Database. 
1.5. Action Plan 
For this 2022 Long-Term Plan, the IPA recommended that the ICC expressly approve the following 
items as part of the Plan’s approval: 
1.  Approve the RPS targets, and budget estimates for Ameren Illinois, ComEd, and MidAmerican 
for the delivery years 2022-2023 through 2023-2024 contained in Chapter 3, including the 
forecast used for this Plan, and additionally stipulate that Ameren Illinois, ComEd, and 
MidAmerican will provide updated load forecasts and budget data to the Agency on a 
biannual basis (each spring and fall) to allow the Agency to update those numbers.  
2.  Approve the continuation of the Agency’s approach for considering and weighting the public 
interest criteria related to facilities located in adjacent states that is contained in Chapter 4. 
3.  Approve the procurements contained in Chapter 5 including the changes to the procurement 
process to incorporate the Indexed REC approach. 
4.  Approve the design of the large customer self-direct program contained in Chapter 6 
including the process for determining the program size, application process, bill crediting 
methodology. 
5.  Approve the continuation of the basic design of the Adjustable Block Program contained in 
Chapter 7, and approve updates to block design, program categories, schedule of REC prices, 
and program terms and conditions. 
6.  Approve the process for the submission, review, and approval of the proposed contracts to 
procure renewable energy credits or implement the programs authorized by the Commission 
as primarily outlined in Chapters 5, 7, and 8.   
7.  Approve the continuation of the basic design and terms and conditions of the Illinois Solar 
for All Program contained in Chapter 8, as well as the updates proposed in this 2022 Long-
Term Plan. 
8.  Approve the consumer protection standards contained in Chapter 9. 
9.  Approve the Agency’s approach to minimum equity standards contained in Chapter 10. 
The Illinois Power Agency respectfully files this Final 2022 Long-Term Renewable Resources 
Procurement Plan, which reflects the Commission’s Final Order in Docket No 22-0231 approving and 
modifying this Plan consistent with Section 16-111.5 of the PUA.  
   
5 
 ",1. Introduction ,[],578,18,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
6,14,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
2. Statutory Requirements of the Plan 
This  Chapter  of  the  IPA’s  Long-Term  Renewable  Resources  Procurement  Plan  (“Long-Term 
Renewables Plan” or “Plan”) describes the statutory requirements applicable to the Long-Term 
Renewables Plan, with a particular focus on changes made through Public Act 102-0662 (colloquially 
known as the “Climate & Equitable Jobs Act”), which took effect on September 15, 2021 beginning 
the 120-day deadline for the initial publication of this Plan.  While not inclusive of all such 
requirements, this Chapter attempts to outline primary requirements while directing readers to 
individual Sections and Chapters in which the Agency’s implementation approach to satisfying those 
requirements is explained in detail.  
A  Statutory  Compliance  Index,  Appendix  A,  provides  a  complete  cross-index  of  statutory 
requirements and the specific sections of this Plan that address each requirement identified.   
2.1. Renewable Energy Resource Procurement Prior to Public Act 99-0906    
The  Agency  has  been  producing  procurement  plans  addressing  renewable  energy  resource 
procurements since 2008 and conducting renewable energy resource procurements since 2009, and 
it is helpful to understand the background of the Illinois Renewable Portfolio Standard’s (“RPS”) 
RPS’s original structure and implementation challenges in understanding the changes made through 
Public Acts 99-0906 and now 102-0662.  
Prior to P.A. 99-0906 (colloquially known as the “Future Energy Jobs Act”), the Illinois RPS effectively 
had three compliance mechanisms depending on a customer’s supply source: eligible retail customer 
procurements, Alternative Retail Electric Supplier (“ARES”) compliance, and hourly pricing customer 
compliance payments.  Below is an outline of the pre-P.A. 99-0906 RPS, provided for background; 
please note that the structure outlined in Section 2.1 below no longer governs RPS implementation 
and compliance in Illinois.   
2.1.1.  Original RPS—Eligible Retail Customer Load  
Of the three former RPS compliance mechanisms, the compliance pathway that looked most like the 
present RPS was that which applied to “eligible retail customers,” or those customers still taking 
default supply service from their electric utility (ComEd and Ameren Illinois, and starting in 2015, 
MidAmerican).    The  Agency’s  annual  procurement  plans  (developed  primarily  to  propose 
procurements  intended  to  meet  the  energy,  capacity,  and  other  standard  wholesale  product 
requirements of eligible retail customers) were required to also include procurement proposals 
intended to meet annually-climbing, percentage-based renewable energy resource targets.  As with 
block energy procured by the Agency, the applicable utility served as the counterparty to resulting 
contracts.   
Sub-targets were also introduced to the overall procurement volumes:  of the renewable energy 
resources procured, 75% were required to come from wind, 6% from photovoltaics, and 1% from 
distributed generation.  Prior to June 1, 2011, resources from Illinois were expressly prioritized 
(looking to adjoining states if none were available in-state, and then elsewhere); after June 1, 2011, 
the RPS required looking to Illinois and adjoining states together as a first priority, and then 
elsewhere.  Funds available for use under RPS contracts were subject to a rate impact cap—a fixed 
bill impact cap percentage (2.015% of 2007 rates), which was then applied to eligible retail customer 
load to produce a renewable resources procurement budget.        
6 
 ",2. Statutory Requirements of the Plan ,['2. Statutory Requirements of the Plan '],738,20,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
7,15,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
This system may have worked more effectively had Illinois not experienced significant volatility in 
the size of its eligible retail customer load.  Upon the establishment of the IPA in 2007, however, the 
General Assembly required that electric utilities execute relatively long-term energy supply contracts 
(known as the “swap contracts”) to serve eligible retail customer load.  In the years that followed, 
energy prices plummeted in the wholesale market, yet these swap agreements served to inflate the 
default supply rate well above that which could be offered by a competitive supplier.  From 2011 to 
2013, significant populations of default supply customers switched to ARES service, often through 
opt-out municipal aggregation,2 and eligible retail customer load dwindled, causing a corresponding 
decline in the annual available renewable resources budget.   
As part of its 2009 Annual Procurement Plan, the Agency proposed, and the Commission approved, a 
procurement for “bundled” (energy and REC) long-term contracts from renewable energy suppliers 
(known as the Long-Term Power Purchase Agreements, or “LTPPAs”). The LTPPA contracts were 
executed through a 2010 procurement event, with winning suppliers receiving 20-year bundled 
contracts to help meet future years’ RPS targets. While this procurement helped facilitate significant 
new renewable energy development in Illinois (especially in the form of wind projects), it also 
provided a floor of annual payment obligations under the renewable resources budget for future 
years.   
As the annual renewable resources budget declined due to customer load moving to ARES supply, 
not only was funding unavailable to conduct additional renewable energy resource procurements, 
but funding was also no longer available to meet the full commitments of the LTPPAs described 
above.  As a result, for two years ComEd’s LTPPAs were “curtailed” (payment was not made through 
the renewable resources budget for the full expected output).  Due to the unpredictability of available 
budgets in future years, the Agency’s annual procurement plans after the 2010 LTPPAs proposed 
only3 the procurement of one-year contracts to meet each upcoming delivery year’s renewable 
energy resource obligations.  As obtaining financing for developing new facilities generally required 
revenue certainty over a long period, this short-term focus left the prior RPS as an ineffective (or 
“broken”) tool for facilitating the development of new renewable energy generation.     
2.1.2.  Original RPS—Hourly Pricing Customers   
Beginning with the 2010 delivery year through June 1, 2017, Section 1-75(c)(5) of the Act required 
that the applicable electric utility apply “the lesser of the maximum alternative compliance payment 
rate or the most recent estimated alternative compliance payment rate for its service territory for 
the corresponding compliance period” to hourly pricing customers.  Those funds were held by the 
electric utility and utilized to supplement to the Agency’s annual procurement planning process. 
Because contracts with distributed generation systems required contracts of at least 5 years, the IPA 
used these hourly Alternative Compliance Payments (“ACPs”) to serve as the funding source for 
procurements supporting DG development, including DG procurements approved in the IPA’s 2017 
Annual Procurement Plan.  
 
2 Under Section 1-92 of the Act, municipalities, whether individually or in a coalition with others, may aggregate residential and small 
commercial electric loads and leverage economies of scale to negotiate favorable electric supply rates for those customers. 
3 The lone exception to this was the procurement of statutorily mandated five-year distributed generation procurements using alternative 
compliance payments. 
7 
 ",2. Statutory Requirements of the Plan ,['2.1.2.'],710,20,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
8,16,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
As discussed in detail in Chapter 3, even accounting for payments still to be made under those DG 
procurements, some balance of prior-collected hourly ACPs remains for REC procurements.      
2.1.3.  Original RPS—ARES Compliance  
Lastly, the ARES RPS compliance mechanism, adopted in 2009, was more complex.  Under Section 
16-115D of the Public Utilities Act, each ARES carried a percentage-based renewable portfolio 
standard requirement similar to the Section 1-75(c) requirement as a percentage of its sales, but 
could satisfy its obligation by making alternative compliance payments at a rate reflecting that rate 
paid by eligible retail customers for no less than 50% of its obligation.  For the remaining 50% of its 
obligation, the ARES could either make additional alternative compliance payments and/or self-
procure RECs from a broad geographic footprint.  
With ARES competing with one another for customers (and against default supply service), this 
paradigm created an incentive for an ARES to comply at the lowest cost possible.4  Thus, alternative 
compliance payments were generally made for the minimum 50% amount, and the self-procurement 
obligation was not structured to lead to the development of new renewable energy generation.   
Alternative compliance payments were deposited into the IPA-administered Renewable Energy 
Resources Fund.  Due to statutory constraints, leveraging this fund for procurements carried 
significant challenges, as the IPA outlined in detail its 2015 Supplemental Photovoltaic Procurement 
Plan.  In addition, as a special state fund, the RERF could always be—and indeed was—subject to the 
risks of borrowing and transfers.  Given these risks, and given the State’s inability to enact a budget 
from July 1, 2015 until August 31, 2017 (thereby leaving the IPA without appropriation authority to 
make payments under contracts regardless of actual funds available), the State of Illinois was an 
unattractive counterparty for REC delivery contracts.    
With the majority of Illinois electric load being served by ARES,5 this stood as no small problem—
while the RPS technically covered most of the electricity delivered in the state, very little new 
renewable generation was able to be developed through it.  Significant amounts were being paid into 
the RERF each year to support renewable energy development, yet the money was unable to be 
effectively leveraged for that purpose.  While ARES were procuring millions of RECs in aggregate each 
year, the incentive structure facing those suppliers made it highly unlikely that those RECs would be 
sourced from anything other than the lowest-priced seller: generally, facilities already built and 
financed, and potentially from projects in vertically integrated states with costs already being fully 
recovered through rates.  Hence, parties seeking changes to this system often characterized the 
Illinois RPS as a “broken RPS,” and one that would require a comprehensive legislative overhaul to 
be properly fixed.    
2.2. Public Act 99-0906 
The Agency’s initial obligation to develop a Long-Term Renewable Resources Procurement Plan for 
managing RPS implementation stems from requirements included in Public Act 99-0906.  P.A. 99-
0906 was passed by both the Illinois House and Senate during the last days of the 99th General 
 
4 To the extent that a customer sought a more environmentally friendly product, the ARES could always offer a “green” product including 
100% of megawatt-hours matched with renewable energy credits, disconnected from any RPS compliance obligation.   
5 See, e.g., https://www.icc.illinois.gov/downloads/public/2017%20ORMD%20Section%2020-110%20report.pdf.   
8 
 ",2. Statutory Requirements of the Plan ,[],697,23,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
9,17,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
Assembly on December 1, 2016, and was signed into law on December 7, 2016, with an effective date 
of June 1, 2017.    
P.A. 99-0906’s changes to the RPS were intended to address many of the challenges outlined above, 
especially to ensure that the RPS collections could be effectively leveraged to support new renewable 
energy project development.     
2.2.1.  P.A. 99-0906—Overview    
In addition to the requirement that the Agency develop its Long-Term Renewable Resources 
Procurement Plan and implement the programs and procurement discussed herein, P.A. 99-0906 
also contained other significant reforms to Illinois energy law.  Among those reforms included the 
establishment of a zero emission standard requiring the Agency to develop a Zero Emission Standard 
Procurement Plan for the procurement of zero emission credits from select at-risk zero emission (i.e., 
nuclear) generating facilities;6 revisions to the state’s energy efficiency portfolio standard found in 
Article VIII of the Public Utilities Act (220 ILCS 5), including the elimination of the statutory pathway 
by which incremental energy efficiency programs were included in the IPA’s annual procurement 
plans;7 additional financial assistance for low-income ratepayers;8 bill crediting for the energy 
production associated with subscriptions to community renewable generation;9 and a smart inverter 
rebate for behind-the-meter generating facilities.10   
2.2.2.  Changes to the RPS through P.A. 99-0906   
Public Act 99-0906 ushered in several changes to the RPS, including the introduction of new 
concepts, terms, and prescriptive requirements.  Several of these concepts are discussed below, in 
the subsections later in this chapter, and in the Chapters that follow.  Where applicable, the status of 
these changes under P.A. 102-0662’s new RPS framework are also noted.      
2.2.2.1.  P.A. 99-0906—RPS Funding  
P.A. 99-0906 constituted a comprehensive overhaul of the state’s renewable energy portfolio 
standard, elements of which can be found in Sections 1-56 and 1-75(c) of the IPA Act and Section 16-
115D of the PUA.  Under the prior Illinois RPS, compliance and planning depended on how a 
customer’s supply requirements were met, with three separate compliance mechanisms for default 
utility supply service, hourly-pricing customers, and load served by Alternative Retail Electric 
Suppliers.  Changes to the Illinois RPS through P.A. 99-0906 fully transitioned the state’s RPS to a 
streamlined, centralized planning and procurement process, with both RPS targets and available 
 
6 The Agency’s Zero Emission Standard Procurement Plan, developed pursuant to new Section 1-75(d-5) of the Act, was filed with the 
Commission on July 31, 2017 and was approved by the Commission on September 11, 2017. See ICC Docket No. 17-0333.   
7 See 220 ILCS 5/16-111.5B.   
8 See 220 ILCS 5/8-103B(c) (requiring ComEd and Ameren Illinois to allocate $25 million and $8.5 million, respectively, annually for low-
income energy efficiency programs); 305 ILCS 20/18(c)(5), (5.5), (7) (authorizing Percentage of Income Payment Plan (“PIPP”) qualified 
customers to receive credits under a utility’s Arrearage Reduction Program, and creating a new Supplemental Arrearage Reduction 
Program for utility customers who cannot join the PIPP due to timing or funding constraints); 220 ILCS 5/16-108.10 (creating new $10 
million annual funding stream over five years for low-income assistance programs for ComEd customers).  
9 See 220 ILCS 5/16-107.5(l). 
10 See 220 ILCS 5/16-107.6. 
9 
 ",2. Statutory Requirements of the Plan ,[],721,18,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
10,18,"Illinois Power Agency  2022 Long-Term Plan (Final)  August 23, 2022 
   
budgets determined based on an electric utility’s load for all retail customers11 and funding collected 
through a delivery services charge.   
While the rate impact cap found under Section 1-75(c)(1)(E) of the IPA Act technically remained the 
same under Public Act 99-0906 – 2.015% of 2007 rates – budgets available to support renewable 
energy projects increased significantly, as that rate impact cap applied now to all retail sales instead 
of only eligible retail customer load.  In prior years, the annual RPS budget managed by the Agency 
could range from $30 million to $100 million, with the Agency having little visibility in advance as to 
what future years’ budgets would be due to the issues outlined above in Section 2.1.1.  Through Public 
Act 99-0906, by 2019, annual RPS budgets stabilized in the range of $220 million to $230 million per 
year, not considering prior-collected ACPs.  This increased level of funding was essential to meet the 
more aggressive targets found in the revised Illinois RPS, specifically targets related to ensuring that 
RECs were being procured from new wind and photovoltaic projects that may never have been 
developed but for the availability of funding through REC delivery contracts.   
As discussed later in this Chapter and especially across Chapter 3, Public Act 102-0662 further increased 
these budgets and now allows for collections to be leveraged across multiple delivery years, such that 
prior years’ collections can now be utilized meet future years’ expenses.   
2.2.2.2.  P.A. 99-0906—Focus on RECs  
P.A. 99-0906 demonstrated a shift in focus from compliance through the procurement of “renewable 
energy resources”—which may be either 1) a renewable energy credit associated with a megawatt-
hour (“MWh”) of generation, or 2) that REC plus the associated generation—to compliance through 
the purchase and retirement of “renewable energy credits.”12  This change makes intuitive sense; the 
purchase of energy is not addressed through this planning process, and the Agency’s planning for any 
energy purchases can only be for utility default supply customers (i.e., eligible retail customers) 
through the development of a separate procurement plan (which focuses on a shorter timeframe than 
many of the REC contracts envisioned in the revised RPS).   
That  framework continues  under  P.A.  102-0662, with  RPS  goal progress measured through  the 
procurement of RECs rather than renewable energy resources.  The IPA’s 2022 Long-Term Plan thus 
continues to only concern REC procurements, and not the procurement of energy or capacity from 
projects facilitated by this Plan’s proposals.   
2.2.2.3.  P.A. 99-0906—RPS Targets and Goals  
P.A. 99-0906 continued with a “25% by 2025” RPS trajectory that had previously been contained in 
Section 1-75(c) since its enactment in 2008—meaning that 25% of eligible load should be met by 
RECs procured by the Agency by the year 2025—but just as funds to support REC procurements were 
now to be collected from all retail customers, that goal was likewise applied to all retail customer 
load.  A higher priority requirement was minimum procurement quantities of RECs from “new” wind 
 
11 For MidAmerican, the IPA understands that Section 1-75(c)’s renewable energy procurement targets are generally applied to the supply 
procured for MidAmerican’s jurisdictional eligible retail customers and not all retail sales in its service territory.   
12 See, e.g., 20 ILCS 3855/1-75(c)(1)(B), (C).  The law continues to recognize that “renewable energy resources” may be used to satisfy the 
RPS, but focuses this Plan only on the procurement of “renewable energy credits” (which, standing alone, also may constitute “renewable 
energy resources”).    
10 
 ",2. Statutory Requirements of the Plan ,[],766,17,illinois,False,2022 Long-Term Renewable Resources Procurement Plan,docs/raw/dump/illinois/IL_State_2022.pdf
