seq,page_num,content,chapter_title,all_sections,count_words,count_sent,state,is_table,book_title,book_path
1,6," 
ATLANTIC CITY ELECTRIC COMPANY       
BPU NJ No. 11 Electric Service - Section IV Fifty-Ninth Revised Sheet Replaces Fifty-Eighth Revised Sheet 
No. 5 
RATE SCHEDULE RS 
(Residential Service) 
 
AVAILABILITY 
Available for full domestic service to individually metered residential customers, including rural domestic customers, 
engaged principally in agricultural pursuits. 
 
  SUMMER  WINTER 
  June Through  October Through May 
September 
     
Delivery Service Charges:     
Customer Charge ($/Month)  $6.25  $6.25 
Distribution Rates ($/kWH)     
First Block  $0.072877  $0.066324 
(Summer <= 750 kWh; Winter<= 500kWh)     
Excess kWh  $0.085560  $0.066324 
 
Non-Utility Generation Charge (NGC) ($/kWH)  See Rider NGC 
   
Societal Benefits Charge ($/kWh)     
Clean Energy Program  See Rider SBC 
Universal Service Fund  See Rider SBC 
Lifeline  See Rider SBC 
Uncollectible Accounts  See Rider SBC 
Transition Bond Charge (TBC) ($/kWh)  See Rider SEC 
Market Transition Charge Tax (MTC-Tax) ($/kWh)  See Rider SEC 
Transmission Service Charges ($/kWh):     
Transmission Rate  $0.032305  $0.032305 
Reliability Must Run Transmission Surcharge  $0.000000 
Transmission Enhancement Charge ($/kWh)                          See Rider BGS 
Basic Generation Service Charge ($/kWh)    See Rider BGS 
Regional Greenhouse Gas Initiative Recovery Charge    
($/kWh)                        See Rider RGGI   
Infrastructure Investment Program Charge                                                                S   e  e    R  i d  e  r IIP 
Conservation Incentive Program Recovery Charge                                 S   e  e    R  i d  e  r   C   I P                   
 
 
CORPORATE BUSINESS TAX (CBT) 
Charges under this rate schedule include a component for Corporate Business Taxes as set forth in Rider CBT. 
 
NEW JERSEY SALES AND USE TAX (SUT) 
Charges under this rate schedule include a component for New Jersey Sales and Use Tax as set forth in Rider SUT. 
 
 
 
 
 
 
 
Date of Issue: September 29, 2022    Effective Date: October 1, 2022 
 
Issued by:  J. Tyler Anthony, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER22050323 
 
 ",RATE SCHEDULE RS  (Residential Service),[],455,26,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
2,7," 
ATLANTIC CITY ELECTRIC COMPANY 
BPU NJ No. 11 Electric Service - Section IV  Fifth Revised Sheet Replaces Fourth Revised Sheet No. 6 
 
RATE SCHEDULE RS (Continued) 
(Residential Service) 
TERM OF CONTRACT 
None, except that reasonable notice of service discontinuance will be required. 
 
TERMS AND CONDITIONS 
See Section II inclusive for Terms and Conditions of Service. 
 
""In accordance with P.L. 1997, c. 162, the charges in this Rate Schedule includes provision for the New Jersey 
Corporation Business Tax and the New Jersey Sales and Use Tax.  When billed to customers exempt from one or 
more of these taxes, as set forth in Riders CBT and SUT, such charges will be reduced by the relevant amount of 
such taxes included therein."" 
 
PRICE TO COMPARE 
A customer may choose to receive electric supply from a third party supplier as defined in Section 11 of the 
Standard Terms and Conditions of this Tariff.  A customer who receives electric supply from a third party supplier 
will not be billed the Basic Generation Service Charges or the Transmission Service Charges.  Customers eligible 
for BGS CIEP who receive supply from a third party supplier will continue to be billed the CIEP Standby Fee.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
   ",(Continued)  (Residential Service)  TER,[],299,10,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
3,8," 
ATLANTIC CITY ELECTRIC COMPANY  
BPU NJ No. 11 Electric Service - Section IV Eighth Revised Sheet Replaces Seventh Revised Sheet No. 7 
RATE SCHEDULE RS TOU-D 
(Residential Service Time of Use Demand) 
 
AVAILABILITY 
 
 
 
Rate Schedule RS-TOU-D eliminated effective August 1, 2003. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
   ",TOU-D  (Residential Service Time of Use,[],121,8,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
4,9,"ATLANTIC CITY ELECTRIC COMPANY  
BPU NJ No. 11 Electric Service - Section IV  Second Revised Sheet Replaces First Revised Sheet No. 8 
 
RATE SCHEDULE RS TOU-D (Continued) 
(Residential Service Time of Use Demand) 
 
 
 
Rate Schedule RS-TOU-D eliminated effective August 1, 2003. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
 
 
   ",TOU-D (Continued)  (Residential Service,[],122,6,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
5,10,"ATLANTIC CITY ELECTRIC COMPANY  
BPU NJ No. 11 Electric Service - Section IV   Eighth Revised Sheet Replaces Seventh Revised Sheet No. 9 
RATE SCHEDULE RS TOU-E 
(Residential Service Time of Use Energy) 
AVAILABILITY 
 
 
 
Rate Schedule RS-TOU-E eliminated effective August 1, 2003. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
 ",TOU-E  (Residential Service Time of Use,[],121,8,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
6,11," 
ATLANTIC CITY ELECTRIC COMPANY  
BPU NJ No. 11 Electric Service - Section IV  Second Revised Sheet Replaces First Revised Sheet No. 10 
 
RATE SCHEDULE RS TOU-E (Continued) 
(Residential Service Time of Use Energy) 
 
 
 
Rate Schedule RS-TOU-E eliminated effective August 1, 2003. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
 
   ",RS TOU-E (Continued)  (Residential Servi,[],123,7,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
7,12,"                 
                 
ATLANTIC CITY ELECTRIC COMPANY                 
BPU NJ No. 11 Electric Service - Section IV Sixtieth Revised Sheet Replaces Fifty-Ninth Revised Sheet No. 
11 
RATE SCHEDULE MGS-SECONDARY 
(Monthly General Service) 
AVAILABILITY 
Available at any point within the Company’s system where facilities of adequate character and capacity exist for the 
entire electric service requirements of any customer delivered at one point and metered at or compensated to the 
voltage of delivery.  This schedule is not available to residential customers. 
 
  SUMMER  WINTER 
  June Through September  October Through May 
Delivery Service Charges:     
Customer Charge     
Single Phase  $11.90  $11.90 
Three Phase  $13.84  $13.84 
Distribution Demand Charge (per kW)  $3.27  $2.68 
Reactive Demand Charge  $0.64  $0.64 
(For each kvar over one-third of kW demand)     
Distribution Rates ($/kWh)  $0.062158  $0.055017 
     
Non-Utility Generation Charge (NGC) ($/kWH)  See Rider NGC 
   
Societal Benefits Charge ($/kWh)   
Clean Energy Program  See Rider SBC 
Universal Service Fund  See Rider SBC 
Lifeline  See Rider SBC 
Uncollectible Accounts  See Rider SBC 
Transition Bond Charge (TBC) ($/kWh)  See Rider SEC 
Market Transition Charge Tax (MTC-Tax) ($/kWh)  See Rider SEC 
CIEP Standby Fee ($/kWh)  See Rider BGS 
Transmission  Demand  Charge  ($/kW  for  each  kW  in  $6.48   $6.10 
excess of 3 kW) 
Reliability Must Run Transmission Surcharge ($/kWh)  $0.000000 
Transmission Enhancement Charge ($/kWh)                             See Rider BGS 
Basic Generation Service Charge ($/kWh)  See Rider BGS 
Regional  Greenhouse  Gas  Initiative  Recovery  Charge   
($/kWh)   See Rider RGGI 
Infrastructure Investment Program Charge                                                                                 S   ee Rider IIP 
Conservation Incentive Program Recovery Charge                                                                    S  e  e   Rider CIP 
 
The minimum monthly bill will be $11.90 per month plus any applicable adjustment. 
 
 
 
 
 
 
 
 
 
Date of Issue: September 29, 2022    Effective Date: October 1, 2022 
 
Issued by:  J. Tyler Anthony, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER22050323 
 
 
 
   ",laces Fifty-Ninth Revised Sheet No.  11,[],476,24,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
8,13,"ATLANTIC CITY ELECTRIC COMPANY 
BPU NJ No. 11 Electric Service - Section IV  Second Revised Sheet Replaces First Sheet No. 12 
RATE SCHEDULE MGS-SECONDARY (Continued) 
(Monthly General Service) 
 
CORPORATE BUSINESS TAX (CBT) 
Charges under this rate schedule include a component for Corporate Business Taxes as set forth in Rider CBT. 
 
NEW JERSEY SALES AND USE TAX (SUT) 
Charges under this rate schedule include a component for New Jersey Sales and Use Tax as set forth in Rider 
SUT. 
 
RELIGIOUS HOUSE OF WORSHIP SERVICE 
When electric service is supplied to a customer where the primary use of the service is for public religious services 
and the customer applies for and is eligible for such service, the customer's monthly bill will be subject to the 
following credits 
 
Energy Credit 
For service rendered June thru September, inclusive:   $0.019677 per kWh for each of the first 300 kWhs used 
per month. 
For service rendered October thru May, inclusive:       $0.015706 per kWh for each of the first 300 kWhs used 
per month. 
 
Demand Adjustment 
For service rendered all months of the year, metered demand will be decreased by 7 kW to arrive at billing 
demand. 
 
The customer will be required to sign an Application for Religious House of Worship Service certifying eligibility.  
The customer shall furnish satisfactory proof of eligibility for service under this special provision to the 
Company, who will determine eligibility. 
 
VETERANS’ ORGANIZATION SERVICE 
Pursuant to N.J.S.A 48:2-21.41, when electric service is delivered to a customer that is a veterans’ organization, 
and where the primary use of the service is dedicated to serving the needs of veterans of the armed forces, and the 
customer applies for and is eligible for such service. 
 
Each customer shall be eligible for billing under this Special Provision upon submitting an Application for Veterans’ 
Organization Service under this rate schedule and by qualifying as a “Veterans’ Organization” as defined by 
N.J.S.A. 48:2-21.41 as “an organization dedicated to serving the needs of veterans of the armed forces that: is 
chartered under federal law, qualifies as a tax exempt organization under paragraph (19) of subsection (c) of 
section 501 of the federal Internal Revenue Code of 1986, 26 U.S.C. s.501 (c)(19), or that is organized as a 
corporation under the ‘New Jersey Nonprofit Corporation Act,’ N.J.S.15A:1-1 et seq.”  Under N.J.S.A. 48: 2-21.41, a 
qualified Veterans’ Organization shall be charged the residential rate for service delivered to the property where the 
Veterans’ Organization primarily operates, if the residential rate is lower than the commercial rate for service at that 
property.  The customer shall furnish satisfactory proof of eligibility of service under this special provision to the 
Company, who will determine eligibility.  
 
If a customer’s application is approved by the Company, the customer shall be eligible under this Special Provision 
beginning with the billing cycle that commences after receipt of the Application. 
 
The customer will continue to be billed on this rate schedule.  Each month, during the billing process, a comparison 
will be made to the RS rate schedule, and if the RS rate schedule is lower for the distribution portion of the bill, a 
credit will be placed on the customer’s account.  If the RS rate is not lower, the customer will be billed under this 
rate schedule and no corresponding credit will be placed on the customer’s account. 
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
 
   ",(Continued)  (Monthly General Service),[],744,20,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
9,14,"ATLANTIC CITY ELECTRIC COMPANY 
BPU NJ No. 11 Electric Service - Section IV  Seventh Revised Sheet Replaces Sixth Revised Sheet No. 13 
RATE SCHEDULE MGS-SECONDARY (Continued) 
(Monthly General Service) 
 
DEMAND DETERMINATION FOR BILLING 
Demand shall be as shown or computed from the readings of Company's demand meter during the fifteen minute 
period of customer's greatest use during the month.  Demand values used for billing will be rounded to the nearest 
tenth of a kW. 
 
Where no demand meters are installed, a customer's demand will be calculated for the period June 1st thru 
September 30th, inclusive.  This demand will be estimated by dividing the kWh use by 150. 
 
Where demand is expected to exceed 100 kilowatts, the Company may measure reactive demand as the greatest 
rate of reactive volt-ampere hour use during a fifteen (15) minute interval during the month. 
 
Reactive demand values used for billing will be rounded to the nearest tenth of a kvar. 
 
The provisions of this paragraph are not available to new service locations connected on or after January 1, 1983.  
Where a customer has permanently installed electrical space heating equipment of less than the total of all other 
connected load and where such electrical heating equipment represents the sole source of space and comfort 
heating, such equipment may be so connected as to exclude its contribution to measured demand. 
 
ENERGY DETERMINATION FOR BILLING 
Energy values used for billing will be rounded to the nearest hundredth of a kWh. 
 
TERM OF CONTRACT 
A customer may elect to have service discontinued at any time after giving due notice to the Company of its 
intention to do so, provided that all requirements and obligations under the tariff of the Company have been met. 
 
STANDBY SERVICE 
See Rider STB  
 
FIXED LOADS 
Customers with fixed attached loads may request to receive service on a computed kilowatt-hour basis.  The 
Company, in its sole discretion, shall determine to grant such request.  Such customers shall agree to pay a 
monthly bill equivalent to the computed kilowatt-hour usage for the billing period, said usage to be determined 
mutually by the Company and customer and specified in the contract.  No changes in attached load may be made 
by the customer without the written permission of the Company and customer shall allow the Company access to its 
premises to assure conformance herewith. 
 
TERMS AND CONDITIONS 
See Section II inclusive for Terms and Conditions of Service. 
 
""In accordance with P.L. 1997, c. 162, the charges in this Rate Schedule includes provision for the New 
Jersey Corporation Business Tax and the New Jersey Sales and Use Tax.  When billed to customers 
exempt from one or more of these taxes, as set forth in Riders CBT and SUT, such charges will be reduced 
by the relevant amount of such taxes included therein."" 
 
PRICE TO COMPARE 
A customer may choose to receive electric supply from a third party supplier as defined in Section 11 of the 
Standard Terms and Conditions of this tariff.  A customer who receives electric supply from a third party supplier will 
not be billed the Basic Generation Service Charges or the Transmission Service Charges.  Customers eligible for 
BGS CIEP who receive supply from a third party supplier will continue to be billed the CIEP Standby Fee.  
Date of Issue:  March 27, 2019    Effective Date: April 1, 2019 
 
Issued by:  David M. Velazquez, President and Chief Executive Officer – Atlantic City Electric Company  
Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the  
BPU Docket No. ER18080925 
   ",SECONDARY (Continued)  (Monthly General,[],704,24,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
10,15," 
ATLANTIC CITY ELECTRIC COMPANY   
BPU NJ No. 11 Electric Service - Section IV                    Second Revised Sheet Replaces First Sheet No. 13a 
 
RATE SCHEDULE MGS-SEVC 
(Monthly General Service - Secondary Electric Vehicle Charging) 
AVAILABILITY  
This is a transitional Rate Schedule, available only to publicly-accessible direct current fast charging (“DCFC”) 
stations or sites at any point within the Company’s system where facilities of adequate character and capacity exist 
for the entire electric service requirements of any customer delivered at one point and metered at or compensated 
to the voltage of delivery. This schedule is for secondary voltage only. The charging location DCFC chargers must 
be energized and operational for charging greater than 95% up time each calendar year to be eligible for this rate 
schedule. 
 
This schedule is not available to residential customers. This schedule is not available to commercial and industrial 
customers who install DCFC chargers that are not publicly-accessible. This schedule is not available to DCFC 
installations that are installed behind the meter of a new or existing customer premise. 
 
Each Charging Location is limited to 1000 kilowatts (“kW”) of service capacity. 
 
This Rate Schedule will be closed as of December 31, 2024. Any customers on this Rate Schedule at that time will 
be transferred to Monthly General Service Secondary in the following billing cycle. 
 
  SUMMER  WINTER 
  June Through September  October Through May 
Delivery Service Charges: 
Customer Charge 
Single Phase  $9.96  $9.96 
Three Phase  $11.59  $11.59 
Distribution Demand Charge (per kW)  $0.00  $0.00 
Reactive Demand Charge  $0.00  $0.00 
(For each kvar over one-third of kW demand) 
Distribution Rates ($/kWh)  $0.109000  $0.109000 
Non-Utility Generation Charge (NGC) ($/kWH)  See Rider NGC 
Societal Benefits Charge ($/kWh) 
Clean Energy Program  See Rider SBC 
Universal Service Fund  See Rider SBC 
Lifeline  See Rider SBC 
Uncollectible Accounts  See Rider SBC 
Transition Bond Charge (TBC) ($/kWh)  See Rider SEC 
Market Transition Charge Tax (MTC-Tax) ($/kWh)  See Rider SEC 
CIEP Standby Fee ($/kWh)  See Rider BGS 
Transmission  Demand  Charge  ($/kW  for  each  kW  in  $6.48  $6.10 
excess of 3 kW) 
Reliability Must Run Transmission Surcharge ($/kWh)  $0.000000 
Transmission Enhancement Charge ($/kWh)  See Rider BGS 
Basic Generation Service Charge ($/kWh)  See Rider BGS 
Regional  Greenhouse  Gas  Initiative  Recovery  Charge  
($/kWh)  See Rider RGGI 
Infrastructure Investment Program Charge  See Rider IIP 
 
The minimum monthly bill will be $9.96 per month plus any applicable adjustment. 
 
 
Date of Issue: August 26, 2022  Effective Date: September 1, 2022 
 
      Issued by: J. Tyler Anthony, President and Chief Executive Officer – Atlantic City Electric Company 
      Filed pursuant to Board of Public Utilities of the State of New Jersey directives associated with the 
      BPU Docket No. ER22060404   ",TE SCHEDULE MGS-SEVC  (Monthly General S,[],625,30,new jersey,False,ACE atlantic city electric company tariff for electric service,docs/raw/dump/new_jersey/NJ ACE - Rate Schedule 11.2022.pdf
