seq,page_num,content,chapter_title,all_sections,count_words,count_sent,state,is_table,book_title,book_path
1,3," 
 JERSEY CENTRAL POWER & LIGHT COMPANY 
 
                                                   5th Rev. Sheet No. 3 
BPU No. 13 ELECTRIC - PART III              Superseding 4th Rev. Sheet No. 3 
 
Service Classification RS   
Residential Service   
   
 
APPLICABLE TO USE OF SERVICE FOR:  Service Classification RS is available for: (a) Individual 
Residential Structures; (b) separately metered residences in Multiple Residential Structures; (c) incidental 
use for non-residential purposes when included along with the residence; and/or (d) Auxiliary Residential 
Purposes whether metered separately from the residence or not. 
 
This Service Classification is optional for customers which elect to be billed hereunder rather than under 
Service Classification RT.  (Also see Part II, Section 2.03) 
 
CHARACTER OF SERVICE:  Single-phase service, with limited applications of three-phase service, at 
secondary voltages. 
 
RATE PER BILLING MONTH (All charges include Sales and Use Tax as provided in Rider SUT): 
All charges are applicable to Full Service Customers.  All charges, excluding Basic Generation Service 
(default service), are applicable to Delivery Service Customers. 
 
BASIC GENERATION SERVICE (default service): 
  
1)  BGS Energy and Reconciliation Charges as provided in Rider BGS-RSCP (Basic Generation 
Service – Residential Small Commercial Pricing) (formerly Rider BGS-FP) 
   
2)  Transmission Charge: $0.010056 per KWH for all KWH including Water Heating 
                             
 
DELIVERY SERVICE (Customer and Distribution charges include Corporation Business Tax as 
provided in Rider CBT): 
 
1)  Customer Charge:  $ 3.25 per month  
Supplemental Customer Charge:  $ 1.70 per month Off-Peak/Controlled Water Heating 
 
2)  Distribution Charge: 
 
June through September: 
    $0.017927 per KWH for the first 600 KWH (except Water Heating) 
    $0.070892 per KWH for all KWH over 600 KWH (except Water Heating) 
 
  October through May: 
    $0.029367 per KWH for all KWH (except Water Heating) 
 
   Water Heating Service: 
    $0.019600 per KWH for all KWH for Off-Peak Water Heating  
    $0.025816 per KWH for all KWH for Controlled Water Heating  
 
 
 
 
 
_______________________________________________________________________________________ 
Issued: March 23, 2022                      Effective: April 1, 2022 
 
Filed pursuant to Order of Board of Public Utilities 
Docket No. ER22010028 dated March 9, 2022 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 
   ",Service Classification RS  Residential Service,[],556,11,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
2,4,"JERSEY CENTRAL POWER & LIGHT COMPANY 
 
                                   2nd Rev. Sheet No. 4 
BPU No. 13 ELECTRIC - PART III           Superseding 1st Rev. Sheet No. 4 
 
Service Classification RS   
 
Residential Service 
 
 
3)  Non-utility Generation Charge (Rider NGC):  (See Rider NGC for any applicable St. Lawrence 
Hydroelectric Power credit) 
    See Rider NGC for rate per KWH for all KWH including Off-Peak/Controlled Water Heating 
 
4)  Societal Benefits Charge (Rider SBC): 
  See Rider SBC for rate per KWH for all KWH including Off-Peak/Controlled Water Heating  
 
5)  RGGI Recovery Charge (Rider RRC): 
  See Rider RRC for rate per KWH for all KWH including Off-Peak/Controlled Water Heating  
 
6)  Zero Emission Certificate Recovery Charge (Rider ZEC): 
    See Rider ZEC for rate per KWH for all KWH including Off-Peak/Controlled Water Heating 
 
7)  Tax Act Adjustment (Rider TAA):  
  See Rider TAA for rate per KWH for all KWH including Off-Peak/Controlled Water Heating 
 
8)  JCP&L Reliability Plus Charge (Rider RP):  
  See Rider RP for rate per KWH for all KWH including Off-Peak/Controlled Water Heating 
 
9)  JCP&L Lost Revenue Adjustment Mechanism Charge (Rider LRAM):  
  See Rider LRAM for rate per KWH for all KWH including Off-Peak/Controlled Water Heating 
 
10)   Electric Vehicle Charger Rider (Rider EV): 
    See Rider EV for information about the EV Driven Program 
 
TERM OF CONTRACT:  None, except that reasonable notice of service discontinuance will be required.  
Where special circumstances apply or special or unusual facilities are supplied, a contract of one year or 
more may be required. 
 
TERMS OF PAYMENT:  Bills are due when rendered by the Company and become overdue when payment 
is not received by the Company on or before the due date specified on the bill. 
 
SERVICE CHARGE:  A Service Charge of $14.00 shall be applicable for initiating service to a customer 
under any Service Classification (see Part II, Section 2.01).  A $54.00 Service Charge shall be applicable 
for final bill readings requested to be performed other than during the normal working hours of 8 AM to 4:30 
PM, Monday through Friday.  (See Part II, Section 3.13)   
 
RECONNECTION CHARGES:  A Reconnection Charge, applicable after a discontinuance requested by 
the customer or because of a default by the customer, of $45.00 is applicable to service reconnections 
which can be performed at the meter. The charge for all reconnections which cannot be performed at the 
meter shall be based upon the costs incurred by the Company. (See Part II, Section 7.04) 
 
DELINQUENT CHARGE:  A Field Collection Charge of $25.00 shall be applicable for each collection visit 
made to the customer's premises.   (See Part II, Section 3.20)     
 
 
 
_______________________________________________________________________________________ 
Issued: June 29, 2022                 Effective: July 1, 2022 
 
Filed pursuant to Order of Board of Public Utilities 
Docket No. EO21030630 dated June 8, 2022 
 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 
   ",Service Classification RS  Residential Service,[],708,19,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
3,5,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                    
BPU No. 13 ELECTRIC - PART III              Original Sheet No. 5 
 
 
Service Classification RS 
 
Residential Service 
 
 
 
SPECIAL PROVISIONS: 
 
(a)  Restricted Off-Peak Water Heating Service:  Locations currently receiving service under this Special 
Provision which have automatic storage-type water heaters for the supply of hot water requirements of the 
premises,  where  such  water  heaters  comply  with  and  are  installed  in  accordance  with  Company 
specifications, shall be billed a Supplemental Customer Charge, and shall have the KWH used during the 
off-peak hours of 8 PM to 8 AM Eastern Standard Time measured by a separate meter and billed at the 
Charges provided above.  The Company reserves the right to change the on-peak hours from time to time 
as the on-peak periods of the supply system change. (Also see Part II, Section 5.09) 
  
(b)  Restricted Controlled Water Heating Service:  Locations currently receiving service under this 
Special Provision which have automatic storage-type water heaters for the supply of hot water requirements 
of the premises, where such water heaters comply with and are installed in accordance with Company 
specifications and have the operation of both upper and lower elements restricted by Company control 
devices to the hours of 11 PM to 4 PM Eastern Standard Time, shall be billed a Supplemental Customer 
Charge, and shall have the KWH used during those hours measured by a separate meter and billed at the 
Charges provided above.  The Company reserves the right to change the on-peak hours from time to time 
as the on-peak periods of the supply system change.  (Also see Part II, Section 5.10) 
 
ADDITIONAL MODIFYING RIDER:  This Service Classification may also be modified for other Rider(s) 
subject to each Rider's applicability, as specified. 
 
STANDARD TERMS AND CONDITIONS:  This Service Classification is subject to the Standard Terms 
and Conditions of this Tariff for Service. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
___________________________________________________________________________________ 
Issued: October 30, 2020                  Effective: December 1, 2020 
 
Filed pursuant to Order of Board of Public Utilities 
Docket Nos. ER20020146 and PUC 04343-2020N dated October 28, 2020 
 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 ",Service Classification RS  Residential Service,[],539,10,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
4,6,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                                 7th Rev. Sheet No. 6 
BPU No. 13 ELECTRIC - PART III           Superseding 6th Rev. Sheet No. 6 
Service Classification RT 
Residential Time-of-Day Service 
 
APPLICABLE TO USE OF SERVICE FOR:  Service Classification RT is available for: (a) Individual 
Residential Structures; (b) separately metered residences in Multiple Residential Structures; (c) incidental 
use for non-residential purposes when included along with the residence; and/or (d) Auxiliary Residential 
Purposes whether metered separately from the residence or not. 
 
This Service Classification is optional for customers which elect to be billed hereunder rather than under 
Service Classification RS.  (Also see Part II, Section 2.03) 
 
CHARACTER OF SERVICE:  Single-phase service, with limited applications of three-phase service, at 
secondary voltages. 
 
RATE PER BILLING MONTH (All charges include Sales and Use Tax as provided in Rider SUT): 
All charges are applicable to Full Service Customers.  All charges, excluding Basic Generation Service 
(default service), are applicable to Delivery Service Customers. 
 
BASIC GENERATION SERVICE (default service):  
 
   1)  BGS  Energy  and  Reconciliation  Charges  as  provided  in  Rider  BGS-RSCP  (Basic 
Generation Service – Residential Small Commercial Pricing) (formerly Rider BGS-FP) 
 
2)  Transmission Charge: $0.010056 per KWH for all KWH on-peak and off-peak  
 
DELIVERY SERVICE (Customer and Distribution charges include Corporation Business Tax as 
provided in Rider CBT): 
 
1)  Customer Charge:  $ 7.05 per month  
Solar Water Heating Credit:  $ 1.77 per month  
 
2)  Distribution Charge: 
    $0.052349 per KWH for all KWH on-peak for June through September 
    $0.038452 per KWH for all KWH on-peak for October through May 
    $0.024453 per KWH for all KWH off-peak  
 
3)  Non-utility  Generation  Charge  (Rider  NGC):    (See  Rider  NGC  for  any  applicable  St. 
Lawrence Hydroelectric Power credit) 
  See Rider NGC for rate per KWH for all KWH on-peak and off-peak 
   
4)  Societal Benefits Charge (Rider SBC):  
  See Rider SBC for rate per KWH for all KWH on-peak and off-peak  
 
5)  RGGI Recovery Charge (Rider RRC): 
  See Rider RRC for rate per KWH for all KWH on-peak and off-peak 
 
6)  Zero Emission Certificate Recovery Charge (Rider ZEC): 
    See Rider ZEC for rate per KWH for all KWH on-peak and off-peak 
 
7)  Tax Act Adjustment (Rider TAA):  
  See Rider TAA for rate per KWH for all KWH on-peak and off-peak 
 
8)  JCP&L Reliability Plus Charge (Rider RP):  
  See Rider RP for rate per KWH for all KWH on-peak and off-peak 
 
9)  JCP&L Lost Revenue Adjustment Mechanism Charge (Rider LRAM):  
  See Rider LRAM for rate per KWH for all KWH on-peak and off-peak 
 
10)   Electric Vehicle Charger Rider (Rider EV): 
    See Rider EV for information about the EV Driven Program 
__________________________________________________________________________________ 
Issued: June 29, 2022                        Effective: July 1, 2022 
Filed pursuant to Order of Board of Public Utilities 
 Docket No. EO21030630 dated June 8, 2022 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911   ",Service Classification RT  Residential Time-of-Day Service,[],777,17,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
5,7,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                    
BPU No. 13 ELECTRIC - PART III             Original Sheet No. 7 
Service Classification RT 
Residential Time-of-Day Service 
 
DEFINITION OF ON-PEAK AND OFF-PEAK HOURS:  The hours to be considered as on-peak are from 
8 AM to 8 PM Eastern Standard Time, Monday through Friday.  All other hours including weekend hours 
will be considered off-peak.  The Company reserves the right to change the on-peak hours from time to 
time as the on-peak periods of the supply system change.  The Company may also selectively stagger 
the on-peak hours up to one hour in either direction when required to alleviate local distribution system 
peaking within high density areas.  The off-peak hours will not, however, be less than 12 hours daily. 
 
TERM OF CONTRACT:  None, except that reasonable notice of service discontinuance will be required.  
Where special circumstances apply or special or unusual facilities are supplied, contracts of one year or 
more may be required. 
 
TERMS OF PAYMENT:  Bills are due when rendered by the Company and become overdue when 
payment is not received by the Company on or before the due date specified on the bill. 
 
SERVICE CHARGE:  A Service Charge of $14.00 shall be applicable for initiating service to a customer 
under any Service Classification (see Part II, Section 2.01).  A $54.00 Service Charge shall be applicable 
for final bill readings requested to be performed other than during the normal working hours of 8 AM to 
4:30 PM, Monday through Friday.  (See Part II, Section 3.13)   
 
RECONNECTION CHARGES:  A Reconnection Charge, applicable after a discontinuance requested by 
the customer or because of a default by the customer, of $45.00 is applicable to service reconnections 
which can be performed at the meter. The charge for all reconnections which cannot be performed at the 
meter shall be based upon the costs incurred by the Company. (See Part II, Section 7.04) 
 
DELINQUENT CHARGE:   A Field Collection Charge of $25.00 shall be applicable for each collection visit 
made to the customer's premises.  (See Part II, Section 3.20) 
 
SPECIAL PROVISION:  Solar Water Heating Systems:  For customers who install a solar water heating 
system with electric backup, the monthly Customer Charge shall be reduced by the credit provided above. 
 
ADDITIONAL MODIFYING RIDER:  This Service Classification may also be modified for other Rider(s), 
subject to each Rider's applicability, as specified. 
 
STANDARD TERMS AND CONDITIONS:  This Service Classification is subject to the Standard Terms 
and Conditions of this Tariff for Service. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
__________________________________________________________________________________ 
Issued: October 30, 2020            Effective: December 1, 2020 
 
Filed pursuant to Order of Board of Public Utilities 
Docket Nos. ER20020146 and PUC 04343-2020N dated October 28, 2020
 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 
   ",Service Classification RT  Residential Time-of-Day Service,[],675,23,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
6,8," 
JERSEY CENTRAL POWER & LIGHT COMPANY 
 
                                                  5th Rev. Sheet No. 8 
BPU No. 13 ELECTRIC - PART III            Superseding 4th Rev. Sheet No. 8 
Service Classification RGT 
Residential Geothermal & Heat Pump Service 
 
APPLICABLE TO USE OF SERVICE FOR:  Service Classification RGT is available for residential 
customers residing in individual residential structures, or in separately metered residences in multiple-unit 
residential structures, who have one of the following types of electric space heating systems as the primary 
source of heat for such structure or unit and which system meets the corresponding energy efficiency 
criterion:  
Geothermal Systems with Energy Efficiency Ratio (EER) of 13.0 or greater; 
Heat Pump Systems with Seasonal Energy Efficiency Ratio (SEER) of 11.0 or greater, and a Heating 
Season Performance Factor (HSPF) which meets the then current Federal HSPF standards; 
Room Unit Heat Pump Systems with Energy Efficiency Ratio (EER) of 9.5 or greater. 
 
Service Classification RGT is not available for customers residing in individual residential structures, or in 
separately metered residences in multiple-unit residential structures, which have an electric resistance 
heating system as the primary source of space heating for such structure or unit. 
 
CHARACTER OF SERVICE:  Single-phase service, with limited applications of three-phase service, at 
secondary voltages. 
 
RATE PER BILLING MONTH (All charges include Sales and Use Tax as provided in Rider SUT): 
All charges are applicable to Full Service Customers.  All charges, excluding Basic Generation Service 
(default service), are applicable to Delivery Service Customers. 
 
BASIC GENERATION SERVICE (default service):  
 
1)  BGS  Energy  and  Reconciliation  Charges  as  provided  in  Rider  BGS-RSCP  (Basic 
Generation Service – Residential Small Commercial Pricing) (formerly Rider BGS-FP) 
 
2)  Transmission Charge:  
    $0.010056 per KWH for all KWH on-peak and off-peak for June through September 
  $0.010056 per KWH for all KWH for October through May 
 
DELIVERY SERVICE (Customer and Distribution charges include Corporation Business Tax as 
provided in Rider CBT): 
 
1)  Customer Charge:  $ 7.05 per month  
 
2)  Distribution Charge: 
 
June through September: 
    $0.052349 per KWH for all KWH on-peak  
    $0.024453 per KWH for all KWH off-peak  
 
  October through May: 
    $0.029367 per KWH for all KWH      
 
__________________________________________________________________________________ 
Issued: March 23, 2022                  Effective: April 2, 2022 
 
Filed pursuant to Order of Board of Public Utilities 
 Docket No. ER22010028 dated March 9, 2022 
 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 ",Service Classification RGT  Residential Geothermal & Heat Pump Service  ,[],611,11,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
7,9,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                   2nd Rev. Sheet No. 9 
BPU No. 13 ELECTRIC - PART III             Superseding 1st Rev Sheet No. 9 
Service Classification RGT 
Residential Geothermal & Heat Pump Service 
3)  Non-utility  Generation  Charge  (Rider  NGC):    (See  Rider  NGC  for  any  applicable  St. 
Lawrence Hydroelectric Power credit) 
    See Rider NGC per KWH for all KWH on-peak and off-peak  
   
4)  Societal Benefits Charge (Rider SBC):   
  See Rider SBC per KWH for all KWH on-peak and off-peak  
 
5)  RGGI Recovery Charge (Rider RRC): 
  See Rider RRC for rate per KWH for all KWH on-peak and off-peak  
 
6)  Zero Emission Certificate Recovery Charge (Rider ZEC): 
    See Rider ZEC for rate per KWH for all KWH on-peak and off-peak 
 
7)  Tax Act Adjustment (Rider TAA):  
    See Rider TAA for rate per KWH for all KWH on-peak and off-peak 
 
8)  JCP&L Reliability Plus Charge (Rider RP):  
  See Rider RP for rate per KWH for all KWH on-peak and off-peak 
 
9)  JCP&L Lost Revenue Adjustment Mechanism Charge (Rider LRAM):  
  See Rider LRAM for rate per KWH for all KWH on-peak and off-peak 
 
10)  Electric Vehicle Charger Rider (Rider EV): 
    See Rider EV for information about the EV Driven Program 
 
DEFINITION OF ON-PEAK AND OFF-PEAK HOURS:  The hours to be considered as on-peak are from 
8 AM to 8 PM Eastern Standard Time, Monday through Friday.  All other hours including weekend hours 
will be considered off-peak.  The Company reserves the right to change the on-peak hours from time to 
time as the on-peak periods of the supply system change.  The Company may also selectively stagger 
the on-peak hours up to one hour in either direction when required to alleviate local distribution system 
peaking within high-density areas.  The off-peak hours will not, however, be less than 12 hours daily. 
 
TERM OF CONTRACT:  None, except that reasonable notice of service discontinuance will be required.  
Where special circumstances apply or special or unusual facilities are supplied, contracts of one year or 
more may be required. 
 
TERMS OF PAYMENT:  Bills are due when rendered by the Company and become overdue when 
payment is not received by the Company on or before the due date specified on the bill. 
 
SERVICE CHARGE:  A Service Charge of $14.00 shall be applicable for initiating service to a customer 
under any Service Classification (see Part II, Section 2.01).  A $54.00 Service Charge shall be applicable 
for final bill readings requested to be performed other than during the normal working hours of 8 AM to 
4:30 PM, Monday through Friday.  (See Part II, Section 3.13)   
 
RECONNECTION CHARGES:  A Reconnection Charge, applicable after a discontinuance requested by 
the customer or because of a default by the customer, of $45.00 is applicable to service reconnections 
which can be performed at the meter. The charge for all reconnections which cannot be performed at the 
meter shall be based upon the costs incurred by the Company. (See Part II, Section 7.04) 
 
DELINQUENT CHARGE:   A Field Collection Charge of $25.00 shall be applicable for each collection visit 
made to the customer's premises.  (See Part II, Section 3.20) 
 
ADDITIONAL MODIFYING RIDER:  This Service Classification may also be modified for other Rider(s), 
subject to each Rider's applicability, as specified. 
 
STANDARD TERMS AND CONDITIONS:  This Service Classification is subject to the Standard Terms 
and Conditions of this Tariff for Service. 
 
 
___________________________________________________________________________________ 
Issued: June 29, 2022                    Effective: July 1, 2022 
 
Filed pursuant to Order of Board of Public Utilities 
Docket No. EO21030630 dated June 8, 2022 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911   ",Service Classification RGT  Residential Geothermal & Heat Pump Service,[],896,28,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
8,10,"JERSEY CENTRAL POWER & LIGHT COMPANY 
 
                                                   5th Rev. Sheet No. 10 
BPU No. 13 ELECTRIC - PART III            Superseding 4th Rev. Sheet No. 10 
Service Classification GS 
General Service Secondary 
 
APPLICABLE TO USE OF SERVICE FOR:  Service Classification GS is available for general service 
purposes at secondary voltages not included under Service Classifications RS, RT, RGT or GST. 
 
CHARACTER OF SERVICE:  Single or three-phase service at secondary voltages. 
 
RATE PER BILLING MONTH (All charges include Sales and Use Tax as provided in Rider SUT): 
All charges are applicable to Full Service Customers.  All charges, excluding Basic Generation Service 
(default service), are applicable to Delivery Service Customers. 
 
BASIC GENERATION SERVICE (default service):  
 
1)  BGS  Energy  and  Reconciliation  Charges  as  provided  in  Rider  BGS-RSCP  (Basic   
Generation Service – Residential Small Commercial Pricing) (formerly BGS-FP) or Rider 
BGS-CIEP (Basic Generation Service – Commercial Industrial Energy Pricing) 
   
2)  Transmission Charge: 
    $0.010056 per KWH for all KWH including Water Heating 
 
DELIVERY SERVICE (Customer and Distribution charges include Corporation Business Tax as 
provided in Rider CBT): 
 
1)  Customer Charge:    $  4.09 per month single-phase 
$14.69 per month three-phase 
 
Supplemental Customer Charge:  $  1.70 per month Off-Peak/Controlled Water Heating 
          $  3.35 per month Day/Night Service 
          $15.27 per month Traffic Signal Service  
 
2)  Distribution Charge: 
 
  KW Charge: (Demand Charge) 
    $ 7.92 per maximum KW during June through September, in excess of 10 KW 
    $ 7.38 per maximum KW during October through May, in excess of 10 KW 
    $ 3.59 per KW Minimum Charge, in excess of 10 KW 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
_________________________________________________________________________________ 
Issued: March 23, 2022                 Effective: April 1, 2022 
 
Filed pursuant to Order of Board of Public Utilities 
 Docket No. ER22010028 dated March 9, 2022 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 
   ",Service Classification GS  General Service Secondary,[],499,11,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
9,11,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                   3rd Rev. Sheet No. 11 
BPU No. 13 ELECTRIC - PART III           Superseding 2nd Rev. Sheet No. 11 
Service Classification GS 
General Service Secondary 
   
KWH Charge: 
June through September (excluding Water Heating and Traffic Signal Service): 
    $0.066358 per KWH for all KWH up to 1000 KWH 
    $0.005307 per KWH for all KWH over 1000 KWH 
 
  October through May (excluding Water Heating and Traffic Signal Service): 
    $0.061400 per KWH for all KWH up to 1000 KWH 
    $0.005307 per KWH for all KWH over 1000 KWH 
 
  Water Heating Service: 
    $0.019600 per KWH for all KWH Off-Peak Water Heating  
    $0.025816 per KWH for all KWH Controlled Water Heating  
 
  Traffic Signal Service: 
    $0.013906 per KWH for all KWH 
 
  Religious House of Worship Credit: 
    $0.033830 per KWH for all KWH up to 1000 KWH 
 
3)  Non-utility Generation Charge (Rider NGC):   
    See Rider NGC for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and Traffic Signal Service)   
 
4)  Societal Benefits Charge (Rider SBC):   
  See Rider SBC for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and Traffic Signal Service)  
 
5)  CIEP – Standby Fee as provided in Rider CIEP – Standby Fee (formerly Rider DSSAC) 
 
6)  RGGI Recovery Charge (Rider RRC): 
  See Rider RRC for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and Traffic Signal Service)  
 
7)  Zero Emission Certificate Recovery Charge (Rider ZEC): 
See Rider ZEC for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and Traffic Signal Service) 
 
8)  Tax Act Adjustment (Rider TAA):  
See Rider TAA for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and Traffic Signal Service) 
 
9)  JCP&L Reliability Plus Charge (Rider RP):  
  See Rider RP for rate per KWH for all KWH (including Off-Peak/Controlled Water Heating 
and traffic Signal Service) 
 
10) JCP&L Lost Revenue Adjustment Mechanism Charge (Rider LRAM):  
  See Rider LRAM for rate per KWH for all KWH (including Off-Peak/Controlled Water 
Heating and traffic Signal Service) 
 
11) Electric Vehicle Charger Rider (Rider EV): 
  See Rider EV for information about the EV Driven Program 
 
MINIMUM DEMAND CHARGE PER MONTH: The monthly KW Demand Charge under Distribution 
Charge shall be the greater of (1) the product of the KW Charge per maximum KW provided above and 
the current month’s maximum demand created during on-peak hours as determined below; or (2) the 
product of the KW Minimum Charge provided above and the highest on-peak or off-peak demand created 
in the current and preceding eleven months (but not less than the Contract Demand). 
 
___________________________________________________________________________________ 
Issued: June 29, 2022                    Effective: July 1, 2022 
Filed pursuant to Order of Board of Public Utilities 
 Docket No. EO21030630 dated June 8, 2022 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911   ",Service Classification GS  General Service Secondary,[],718,11,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
10,12,"JERSEY CENTRAL POWER & LIGHT COMPANY 
                                    
BPU No. 13 ELECTRIC - PART III              Original Sheet No. 12 
Service Classification GS 
General Service Secondary 
DETERMINATION OF DEMAND:  The KW used for billing purposes shall be the maximum 15-minute 
integrated kilowatt demand during each billing month calculated to the nearest one-tenth KW.  In instances 
where the Company has determined that the demand will not exceed 10 KW, and has therefore elected 
to not install a demand meter, the demand shall be considered less than 10 KW for billing purposes.  
Where Service is rendered under Special Provision (a), the on-peak demand shall be the maximum 15-
minute integrated kilowatt demand created during the on-peak hours of 8 AM to 8 PM prevailing time, 
Monday through Friday each billing month, while the off-peak demand shall be the maximum demand 
created during the remaining hours.  A Contract Demand not less than the actual monthly demands may 
also be specified for mutually agreeable contract purposes.  
 
TERM OF CONTRACT:  None, except that reasonable notice of service discontinuance will be required.  
Where special circumstances apply or special or unusual facilities are supplied by the Company, a contract 
of one year or more to supply such facilities or accommodate special circumstances may be required for 
any Full Service Customer and any Delivery Service Customer. 
 
TERMS OF PAYMENT:  Bills are due when rendered by the Company and become overdue when 
payment is not received by the Company on or before the due date specified on the bill.  Overdue bills 
thereafter become subject to a late payment charge as described in Section 3.19, Part II. 
 
SERVICE CHARGE:  A Service Charge of $14.00 shall be applicable for initiating service to a customer 
under any Service Classification (see Part II, Section 2.01).  A $54.00 Service Charge shall be applicable 
for final bill readings requested to be performed other than during the normal working hours of 8 AM to 
4:30 PM, Monday through Friday.  (See Part II, Section 3.13)   
 
RECONNECTION CHARGES:  A Reconnection Charge, applicable after a discontinuance requested by 
the customer or because of a default by the customer, of $45.00 is applicable to service reconnections 
which can be performed at the meter. The charge for all reconnections which cannot be performed at the 
meter shall be based upon the costs incurred by the Company. (See Part II, Section 7.04) 
 
DELINQUENT CHARGE:   A Field Collection Charge of $25.00 shall be applicable for each collection visit 
made to the customer's premises.  (See Part II, Section 3.20) 
 
RECONNECTIONS  WITHIN  12-MONTH  PERIOD:    Customers  who  request  a  disconnection  and 
reconnection of service at the same location within a 12-month period shall not be relieved of Minimum 
Demand Charges resulting from demands created during the preceding eleven months, even though 
occurring prior to such disconnection. 
Customers who request more than one disconnection and reconnection of service at the same location 
within a 12-month period shall be subject to the conditions specified above for the first such period of 
disconnection.  In addition, for subsequent periods of disconnection, the customer shall be required to pay 
an additional Reconnection Charge equivalent to the sum of the Minimum Demand Charges, determined 
in accordance with the conditions specified in the preceding paragraph, for each month of that subsequent 
period. 
 
 
 
______________________________________________________________________________ 
Issued: October 30, 2020  Effective: December 1, 2020 
 
Filed pursuant to Order of Board of Public Utilities 
Docket Nos. ER20020146 and PUC 04343-2020N dated October 28, 2020 
 
Issued by James V. Fakult, President 
300 Madison Avenue, Morristown, NJ 07962-1911 ",Service Classification GS  General Service Secondary,[],812,24,new jersey,True,JCP jersey tariff for service - rate schedule - service classifications and riders,docs/raw/dump/new_jersey/NJ JCP_L - Rate Schedule 11.2022.pdf
